% Model:              emptyRoomFreq_itteratePermandCond.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 6 2023, 11:48
% Table:              Table 5 - Point Evaluation 1
% freq (MHz)                                      Point average: Electric field norm (V/m)
82.31115557778888                                 8.034060254735708
82.42621310655326                                 7.567167690879802
82.54127063531764                                 7.567167690879802
82.65632816408203                                 7.155241833707796
82.77138569284641                                 7.155241833707796
82.88644322161079                                 6.789624504413324
83.00150075037517                                 6.789624504413324
83.11655827913955                                 6.462131024492328
83.23161580790394                                 6.462131024492328
83.34667333666832                                 6.1670539731818295
83.4617308654327                                  6.1670539731818295
83.57678839419708                                 5.89985430295083
83.69184592296146                                 5.899854302950831
83.80690345172586                                 5.65678335539897
83.92196098049024                                 5.65678335539897
84.03701850925462                                 5.591035815656103
84.152076038019                                   5.332066955559417
84.26713356678339                                 5.332066955559417
84.38219109554777                                 5.268568505006983
84.49724862431216                                 5.043956137487682
84.61230615307653                                 5.043956137487684
84.72736368184093                                 4.983666664748982
84.8424212106053                                  4.789498452158384
84.95747873936969                                 4.789498452158384
85.07253626813407                                 4.732000606010268
85.18759379689845                                 4.562502979649266
85.30265132566284                                 4.562502979649266
85.41770885442722                                 4.562502979649266
85.5327663831916                                  4.3590635252803045
85.64782391195598                                 4.3590635252803045
85.76288144072036                                 4.3590635252803045
85.87793896948475                                 4.280648696461874
85.99299649824913                                 4.117875987654741
86.10805402701351                                 4.117875987654741
86.22311155577789                                 4.117875987654741
86.33816908454227                                 4.044397804663022
86.45322661330665                                 3.9065134603462988
86.56828414207104                                 3.9065134603462983
86.68334167083542                                 3.9065134603462988
86.7983991995998                                  3.8376505655349313
86.91345672836418                                 3.7776999121821726
87.02851425712856                                 3.7052380004954943
87.14357178589295                                 3.6162606125789734
87.25862931465733                                 3.6162606125789734
87.37368684342171                                 3.6162606125789734
87.48874437218609                                 3.5529285731818994
87.60380190095047                                 3.4758808632357963
87.71885942971485                                 3.4758808632357967
87.83391695847924                                 3.4082115081340008
87.94897448724362                                 3.408211508134001
88.064032016008                                   3.345123086495463
88.17908954477238                                 3.3451230864954624
88.29414707353676                                 3.281991394388231
88.40920460230114                                 3.281991394388231
88.52426213106554                                 3.21795234612811
88.63931965982991                                 3.21795234612811
88.7543771885943                                  3.15544415073456
88.86943471735867                                 3.15544415073456
88.98449224612307                                 3.15544415073456
89.09954977488744                                 3.0907045972431266
89.21460730365182                                 3.0907045972431266
89.3296648324162                                  3.021794232077824
89.44472236118058                                 3.021794232077824
89.55977988994496                                 2.961472363657195
89.67483741870934                                 2.961472363657195
89.78989494747373                                 2.961472363657195
89.90495247623811                                 2.961472363657195
90.02001000500249                                 2.900664641227787
90.13506753376687                                 2.9006646412277868
90.25012506253125                                 2.838114628493725
90.36518259129564                                 2.8381146284937246
90.48024012006002                                 2.838114628493724
90.5952976488244                                  2.7796114368762974
90.71035517758878                                 2.7796114368762974
90.82541270635316                                 2.7796114368762974
