% Model:              dipoleMoveInBox_1.10.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 11 2023, 13:35
% Table:              Table 3 - port voltage
% boxX (m)               boxY (m)                 boxZ (m)                 boxTheta                 boxPhi                   freq (MHz)               abs(emw.Vport_1) (V)
-0.15                    -0.2                     0.1                      80                       50                       73.54709418837673        0.25882055598125675
-0.15                    -0.2                     0.1                      80                       50                       74.04809619238478        0.23503558997950985
-0.15                    -0.2                     0.1                      80                       50                       74.54909819639278        0.21797465341812702
-0.15                    -0.2                     0.1                      80                       50                       75.05010020040079        0.20575112177076502
-0.15                    -0.2                     0.1                      80                       50                       75.5511022044088         0.19688613804709185
-0.15                    -0.2                     0.1                      80                       50                       76.05210420841684        0.1901103992355772
-0.15                    -0.2                     0.1                      80                       50                       76.55310621242484        0.18423797595008073
-0.15                    -0.2                     0.1                      80                       50                       77.05410821643287        0.17833075497170472
-0.15                    -0.2                     0.1                      80                       50                       77.55511022044088        0.17233259911503107
-0.15                    -0.2                     0.1                      80                       50                       78.05611222444888        0.16544052314805222
-0.15                    -0.2                     0.1                      80                       50                       78.55711422845691        0.1650866582469155
-0.15                    -0.2                     0.1                      80                       50                       79.05811623246493        0.16268932936536987
-0.15                    -0.2                     0.1                      80                       50                       79.55911823647293        0.1604260365507862
-0.15                    -0.2                     0.1                      80                       50                       80.06012024048096        0.15759076996171048
-0.15                    -0.2                     0.1                      80                       50                       80.56112224448897        0.1540905433578121
-0.15                    -0.2                     0.1                      80                       50                       81.06212424849697        0.15007549516921329
-0.15                    -0.2                     0.1                      80                       50                       81.56312625250501        0.14713938728896403
-0.15                    -0.2                     0.1                      80                       50                       82.06412825651302        0.14556132677599967
-0.15                    -0.2                     0.1                      80                       50                       82.56513026052103        0.1445436819873935
-0.15                    -0.2                     0.1                      80                       50                       83.06613226452905        0.1439856177963661
-0.15                    -0.2                     0.1                      80                       50                       83.56713426853707        0.14384040544435822
-0.15                    -0.2                     0.1                      80                       50                       84.06813627254508        0.14412783316993677
-0.15                    -0.2                     0.1                      80                       50                       84.5691382765531         0.14496554639279657
-0.15                    -0.2                     0.1                      80                       50                       85.07014028056112        0.14663901953691266
-0.15                    -0.2                     0.1                      80                       50                       85.57114228456912        0.1503739197540002
-0.15                    -0.2                     0.1                      80                       50                       86.07214428857715        0.15537520338131872
-0.15                    -0.2                     0.1                      80                       50                       86.57314629258516        0.15904283447231532
-0.15                    -0.2                     0.1                      80                       50                       87.07414829659317        0.14129775998663113
-0.15                    -0.2                     0.1                      80                       50                       87.5751503006012         0.10097711415125103
