Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1164806000,-20.09466631,66.74066563,-18.41042674,-106.5276173,10.55344712,62.04507202,-13.68012252,154.6655486,
1176804000,-20.07640583,65.40192312,-18.40216647,-107.7241784,10.55460481,60.61293698,-13.71231418,154.3134648,
1188802000,-20.04977552,63.75764653,-18.39226002,-108.8259223,10.54369565,59.09927544,-13.74260586,153.9081592,
1200800000,-20.03929526,62.13460183,-18.39032851,-109.8949676,10.52587013,57.65738925,-13.77919127,153.5796891,
1212798000,-20.04358798,60.54766558,-18.39807117,-111.0771564,10.49815469,56.33356344,-13.80116021,153.3061742,
1224796000,-20.08173912,59.06335857,-18.38050273,-112.1796782,10.46074194,55.07346997,-13.83431772,153.1861002,
1236794000,-20.11283346,57.57901959,-18.36293521,-113.3242464,10.41411506,53.79367514,-13.85551383,152.9226776,
1248792000,-20.16427563,56.02349993,-18.36769618,-114.4544273,10.36722179,52.59856889,-13.89083071,152.6626263,
1260790000,-20.1988701,54.49990402,-18.36741146,-115.4331122,10.31717002,51.44289452,-13.95581474,152.4106671,
1272788000,-20.24131625,52.91227212,-18.35373243,-116.5956306,10.28398137,50.32387731,-14.01042729,152.3510944,
1284786000,-20.27600816,51.40649351,-18.34983517,-117.657823,10.25116929,49.28394564,-14.05828861,151.9027269,
1296784000,-20.28964132,49.98492699,-18.35069251,-118.7571795,10.23713895,48.27700411,-14.11216969,151.6673164,
1308782000,-20.28700416,48.74599234,-18.34636209,-119.9078187,10.22493001,47.29489962,-14.19582082,151.2989494,
1320780000,-20.30755333,47.18449655,-18.33174483,-120.9662476,10.22720237,46.32829966,-14.2493859,150.980522,
1332778000,-20.30162016,45.81142417,-18.33749335,-122.1093169,10.23930605,45.39597774,-14.29878606,150.6795454,
1344776000,-20.33717663,44.53468698,-18.30985138,-123.2240571,10.26888684,44.4349284,-14.35792657,150.5065434,
1356774000,-20.36283595,43.40400103,-18.30156874,-124.4136823,10.30709502,43.45463266,-14.42090133,150.2212735,
1368772000,-20.36019374,41.98300061,-18.32488808,-125.471695,10.35222335,42.4363594,-14.47808487,149.9848246,
1380770000,-20.35870032,40.68427218,-18.32447772,-126.671493,10.40403328,41.41484264,-14.53903604,149.7835054,
1392768000,-20.36825711,39.36998098,-18.29809608,-127.8617873,10.45580196,40.32993304,-14.58111986,149.5125022,
1404766000,-20.37132059,38.1187199,-18.29180832,-128.9053606,10.50040592,39.12964656,-14.64059522,149.4203031,
1416764000,-20.36079557,36.75575672,-18.30799543,-130.0752452,10.54196692,37.85536187,-14.69045174,149.1264673,
1428762000,-20.34379594,35.59816064,-18.28441367,-131.2159666,10.57656541,36.57718678,-14.75002888,149.0685212,
1440760000,-20.35177835,34.54767532,-18.25245129,-132.3431458,10.61406787,35.04775592,-14.80415946,148.7606386,
1452758000,-20.33139691,33.2308061,-18.2703875,-133.4620849,10.64938349,33.60106506,-14.85733635,148.3969303,
1464756000,-20.30919578,31.98188926,-18.25808921,-134.6094503,10.67228837,31.95176389,-14.89600824,147.9422092,
1476754000,-20.28180446,30.55359736,-18.26963701,-135.7503823,10.6938001,30.28080235,-14.92262921,147.5318508,
1488752000,-20.24121079,29.07857341,-18.24975738,-136.9374134,10.71091045,28.72761507,-14.95353868,147.1066825,
1500750000,-20.2457659,27.7666504,-18.22757396,-137.9878911,10.71070216,27.14465411,-14.96056565,146.6600248,
1512748000,-20.21131903,26.02676626,-18.23201763,-139.177402,10.67890344,25.52833996,-15.02037122,146.210354,
1524746000,-20.204128,24.53262694,-18.2241093,-140.2775127,10.64774688,24.0089279,-15.04973876,145.7809816,
1536744000,-20.23802497,22.93034094,-18.20879288,-141.4135899,10.59947746,22.58317467,-15.07422569,145.4489285,
1548742000,-20.2842989,21.39042664,-18.20307352,-142.6598704,10.54145363,21.26300189,-15.11458964,145.0782376,
1560740000,-20.32740867,20.04088488,-18.19287115,-143.768023,10.47355343,20.07352694,-15.16519481,144.7676481,
1572738000,-20.38432718,18.38469582,-18.19603507,-144.9465812,10.40532117,18.93724403,-15.2410543,144.5975927,
1584736000,-20.42316887,16.84870214,-18.18252517,-145.9912869,10.33727374,17.90303912,-15.31749051,144.6646403,
1596734000,-20.48159524,15.17350375,-18.17123574,-147.2136024,10.27752527,16.95157768,-15.41129689,144.7502912,
1608732000,-20.54431087,13.52320045,-18.16842219,-148.3830682,10.23342452,16.05144494,-15.52797307,144.523068,
1620730000,-20.58212353,12.00080672,-18.14340306,-149.486844,10.21312365,15.12868513,-15.60082001,144.3427565,
1632728000,-20.60939198,10.42256695,-18.14885735,-150.538005,10.21136383,14.30825372,-15.68934003,144.0891916,
1644726000,-20.64570152,9.164300198,-18.15023486,-151.7690647,10.23272402,13.49326273,-15.76912659,143.8394332,
1656724000,-20.68042671,7.893719149,-18.14523015,-152.8725407,10.27279522,12.60559881,-15.84918176,143.4016121,
1668722000,-20.69416594,6.734872538,-18.132866,-154.0289159,10.31739658,11.70935494,-15.85716902,143.2154764,
1680720000,-20.67411493,5.495969454,-18.14612128,-155.1805404,10.38567389,10.82686537,-15.9001376,143.1387474,
1692718000,-20.68968678,4.049965027,-18.14965904,-156.3369434,10.44483532,9.907876402,-15.93769042,143.2132854,
1704716000,-20.69916847,2.660033991,-18.1382873,-157.4604403,10.50830856,8.890478806,-15.96672598,143.2275905,
1716714000,-20.69662267,1.268735661,-18.12650729,-158.6863895,10.56548485,7.81460695,-16.01777502,143.3734283,
1728712000,-20.72945648,0.1174232819,-18.11421502,-159.7881243,10.62962911,6.605131873,-16.09309723,143.0179767,
1740710000,-20.78244259,-1.673488649,-18.12466968,-160.937509,10.68242063,5.186426733,-16.16429434,142.5184749,
1752708000,-20.76423224,-3.496890078,-18.14075283,-162.0863528,10.73255707,3.662663851,-16.22466214,142.1050755,
1764706000,-20.67394285,-5.255417119,-18.11979783,-163.4377264,10.77601961,1.931271186,-16.29703454,141.1697145,
1776704000,-20.66858104,-7.011523865,-18.11783172,-164.5630805,10.81588169,0.1979664134,-16.32897285,140.3817581,
1788702000,-20.64562116,-8.843895033,-18.12142018,-165.715609,10.84192325,-1.607349054,-16.38381504,139.5191794,
1800700000,-20.59739919,-11.1171954,-18.10412601,-166.8551663,10.86786915,-3.564405884,-16.40984379,138.6716786,
1812698000,-20.64442639,-12.85042655,-18.1266539,-168.1298394,10.83375445,-5.280587661,-16.45624755,137.9489655,
