Frequency,S11_Magnitude,S21_Magnitude,S22_Magnitude,
413920000,-16.46262874,37.79493893,-16.27420761,
415900000,-16.48125104,37.81765616,-15.88566704,
417880000,-16.25786359,37.81794404,-15.84415969,
419860000,-16.74079969,37.83596001,-14.9258805,
421840000,-16.4402596,37.82008004,-16.0737878,
423820000,-17.27074986,37.80886772,-16.08953565,
425800000,-16.78888115,37.82858619,-15.64194749,
427780000,-17.05288051,37.81299757,-15.92791148,
429760000,-16.67837151,37.80613486,-16.17196304,
431740000,-16.48393004,37.82755013,-17.01706805,
433720000,-16.83391942,37.82179041,-16.83864922,
435700000,-16.987889,37.81303172,-15.68698634,
437680000,-17.46324922,37.8179009,-15.15665517,
439660000,-16.83624266,37.82560374,-16.34008744,
441640000,-16.16811612,37.8295094,-17.00307723,
443620000,-16.78930937,37.81342469,-17.25138837,
445600000,-16.62386838,37.82299796,-16.31126127,
447580000,-16.77572642,37.81744168,-16.64573282,
449560000,-16.47522502,37.82271835,-16.92078756,
451540000,-16.1318737,37.81950952,-16.72929719,
453520000,-17.0508188,37.83202896,-16.16051528,
455500000,-16.62818313,37.81491598,-17.24987013,
457480000,-16.68247895,37.81582959,-17.06735669,
459460000,-16.40079078,37.78033802,-17.3697877,
461440000,-16.30496824,37.77218621,-17.41315545,
463420000,-16.38831068,37.82400498,-16.4297402,
465400000,-17.2139389,37.77973013,-16.27764523,
467380000,-16.43066252,37.77533646,-17.1515358,
469360000,-15.83617157,37.8041097,-17.30571166,
471340000,-16.03387907,37.76756106,-17.23220668,
473320000,-16.16019695,37.75668502,-17.22276831,
475300000,-15.44011064,37.76522814,-18.58643019,
477280000,-15.97053611,37.794458,-17.42902975,
479260000,-15.66607113,37.7553463,-18.13200961,
481240000,-16.42495499,37.73249084,-16.61759368,
483220000,-16.81031951,37.7727399,-17.18841599,
485200000,-16.38015367,37.76602391,-16.91752973,
487180000,-16.91124091,37.76797547,-16.79585704,
489160000,-16.03172783,37.77942505,-16.99487625,
491140000,-17.25099682,37.73999342,-16.54186872,
493120000,-16.71302555,37.78402866,-16.94228559,
495100000,-17.68801561,37.69195276,-16.78833222,
497080000,-17.42677841,37.76217729,-16.25496637,
499060000,-16.96840963,37.76065033,-16.91866505,
501040000,-16.24201187,37.75516068,-16.59228955,
503020000,-16.13041041,37.80085772,-17.49209546,
505000000,-17.7084022,37.76856039,-16.14102087,
506980000,-15.57615942,37.81236594,-18.14872415,
508960000,-17.16149883,37.79003214,-17.00268629,
510940000,-16.23244171,37.83356264,-18.21981795,
512920000,-16.35748667,37.82143898,-17.90574447,
514900000,-15.92356218,37.81216287,-18.47019018,
516880000,-16.06676027,37.82006232,-18.65510543,
518860000,-16.30485106,37.80103697,-18.56746624,
520840000,-17.14315429,37.82224907,-17.34396062,
