Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
649387775,-17.54721632,179.874401,1.305818946,-18.89091008,-25.89419397,1.256368408,10.68982326,146.8029103,nan,-11.06372207,164.3545015,1.776922392,
661411623,-17.52269266,179.988619,1.306816259,-18.89468618,-26.36821249,1.256242702,10.68396911,146.3254766,nan,-11.09099655,164.1816648,1.77354452,
673435470,-17.49868942,179.6398444,1.307795978,-18.87584148,-26.83525504,1.256870723,10.68397286,145.8324049,nan,-11.13230861,163.7857208,1.768463811,
685459318,-17.5021181,179.587926,1.307655816,-18.88122422,-27.26006734,1.256691163,10.69075803,145.3249071,nan,-11.1592111,163.3430339,1.765178154,
697483166,-17.48639869,179.5315759,1.30829901,-18.89106848,-27.62611447,1.256363133,10.70048244,144.8636659,nan,-11.1829042,163.0455242,1.762299306,
709507014,-17.47480366,179.172671,1.308774424,-18.86621214,-28.18105821,1.257192294,10.72710741,144.3885188,nan,-11.20777963,162.6905499,1.759291653,
721530861,-17.4734545,179.0600183,1.308829795,-18.86365392,-28.53619696,1.257277801,10.75685395,143.9957174,nan,-11.23955004,162.4895353,1.755472306,
733554709,-17.45275126,178.8697917,1.3096809,-18.87012184,-28.78804445,1.257061676,10.78345452,143.5078691,nan,-11.25344441,162.168453,1.75380966,
745578557,-17.45678636,178.7296878,1.309514809,-18.84531051,-29.48063626,1.257891845,10.80716585,142.9755724,nan,-11.28143106,161.8579335,1.750474809,
757602404,-17.45878754,178.3855548,1.309432475,-18.83983357,-30.01103575,1.258075502,10.84165255,142.2936789,nan,-11.30723331,161.4626885,1.747416868,
769626252,-17.4494873,178.364901,1.309815323,-18.80883205,-30.39352336,1.259117818,10.87863457,141.6923132,nan,-11.32062312,161.1522646,1.745836228,
781650100,-17.46806847,178.3327903,1.309050958,-18.82018756,-30.78205762,1.258735486,10.91108259,140.9107658,nan,-11.32777854,160.6171016,1.744993288,
793673947,-17.43482088,178.2046234,1.310420162,-18.81581689,-31.24256821,1.258882569,10.93940466,140.1803989,nan,-11.33180728,160.1872642,1.744519217,
805697795,-17.46268958,177.8708196,1.309272007,-18.81446169,-31.80646688,1.258928194,10.95759279,139.3420939,nan,-11.31778969,159.7267664,1.746170354,
817721643,-17.44006025,177.7994578,1.310203938,-18.79387959,-32.02357288,1.259622219,10.97158528,138.4328152,nan,-11.32829512,159.2919013,1.744932479,
829745490,-17.42067804,177.5579216,1.311004679,-18.78840398,-32.71028067,1.259807204,10.97117476,137.5218427,nan,-11.32276781,159.2153568,1.745583447,
841769338,-17.3894823,177.1917249,1.312298404,-18.79825926,-33.2200395,1.259474364,10.96254694,136.6853722,nan,-11.32577172,159.0507677,1.745229578,
853793186,-17.37797734,176.895019,1.312777069,-18.80421489,-33.67984791,1.259273455,10.95861751,135.8920911,nan,-11.33428198,158.8427377,1.744228204,
865817034,-17.36619211,176.7144214,1.313268259,-18.77371678,-34.10180421,1.260304117,10.94667506,135.1303406,nan,-11.35425604,158.7705882,1.741884633,
877840881,-17.36256742,176.7049505,1.313419506,-18.78214037,-34.68777922,1.260018992,10.92828027,134.4323663,nan,-11.36352677,158.4687132,1.740800078,
889864729,-17.3450229,176.7438364,1.314152759,-18.79765585,-35.1537352,1.259494729,10.90126139,133.692563,nan,-11.39443344,158.2130311,1.737198915,
901888577,-17.30411899,176.9001663,1.315869871,-18.80696295,-35.61016985,1.25918081,10.87099275,133.0423379,nan,-11.40102431,158.0588355,1.73643384,
913912424,-17.29283964,176.7984824,1.316345243,-18.78582194,-36.24902197,1.259894486,10.84892105,132.4061322,nan,-11.43183881,157.8584935,1.732870204,
925936272,-17.29557631,176.7095758,1.31622983,-18.77174763,-36.69744062,1.26037082,10.82049813,131.8523384,nan,-11.46178109,157.688914,1.729428361,
937960120,-17.31576329,176.4999641,1.31537997,-18.76713614,-37.17767297,1.260527104,10.79425722,131.3398219,nan,-11.51586867,157.4278952,1.723262781,
949983967,-17.2859666,176.3961925,1.316635308,-18.74589799,-37.71188233,1.261248219,10.76003701,130.8809309,nan,-11.56337373,157.0871211,1.717901874,
962007815,-17.25754324,176.4980507,1.317838082,-18.75556847,-38.19978206,1.260919594,10.72730291,130.4180859,nan,-11.61436342,156.8240082,1.712203494,
974031663,-17.26055526,176.3623079,1.317710379,-18.75968612,-38.73263576,1.260779807,10.71254096,130.0426313,nan,-11.65790591,156.4102937,1.707382523,
986055511,-17.25409442,176.1871402,1.317984377,-18.73054738,-39.15762304,1.261770816,10.70615979,129.6535328,nan,-11.68951742,156.2043703,1.703908304,
998079358,-17.28067893,176.0441359,1.316858671,-18.73089127,-39.71595207,1.261759096,10.70754283,129.2932058,nan,-11.75513214,155.7829151,1.696765366,
1010103206,-17.24260482,175.6218004,1.318472305,-18.72342566,-40.07438563,1.262013664,10.72371476,128.9344464,nan,-11.79362979,155.4276594,1.692616887,
1022127054,-17.23339933,175.3383198,1.318863849,-18.73276858,-40.6839526,1.261695125,10.75224739,128.5407543,nan,-11.81581004,155.0367276,1.690240856,
