Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1488752000,-17.45232597,14.22931002,-18.42777818,-136.272111,11.10943884,28.41160765,-13.15390864,143.2475382,
1500750000,-17.45662494,12.7564047,-18.41010878,-137.3379291,11.09997566,26.74378511,-13.14526504,142.7745533,
1512748000,-17.41726607,11.12958384,-18.40962643,-138.5108801,11.05672471,25.08058765,-13.18357096,142.344569,
1524746000,-17.41132978,9.518083029,-18.39725253,-139.6855156,11.01023869,23.5117179,-13.19839065,141.8671681,
1536744000,-17.43044499,7.825578363,-18.38604447,-140.8147749,10.94632847,22.07339803,-13.21690892,141.4718066,
1548742000,-17.46172034,6.195368409,-18.38336842,-142.0299612,10.86923089,20.74261302,-13.24345611,141.0677168,
1560740000,-17.50375884,4.68548835,-18.36766228,-143.1400218,10.78601579,19.5630914,-13.27921482,140.7062058,
1572738000,-17.53986894,2.940777864,-18.37294968,-144.3201293,10.70450102,18.47107198,-13.34129168,140.4760821,
1584736000,-17.57139682,1.365396261,-18.36364407,-145.4091973,10.62690169,17.5279861,-13.40673491,140.4567644,
1596734000,-17.60725824,-0.3198866237,-18.34657374,-146.6319503,10.55945142,16.67535246,-13.48346694,140.4450837,
1608732000,-17.64576212,-2.007881449,-18.34415418,-147.838708,10.51194542,15.89647229,-13.57392262,140.2126939,
1620730000,-17.67035932,-3.564655842,-18.31852284,-148.9202092,10.49220869,15.06881665,-13.62362056,139.9928259,
1632728000,-17.68350373,-5.110127315,-18.32415764,-149.9999844,10.49635242,14.36322859,-13.68723328,139.7303239,
1644726000,-17.71000594,-6.483771989,-18.32635143,-151.2091397,10.52663355,13.67082653,-13.74874293,139.4582088,
1656724000,-17.74170418,-7.877723653,-18.32064257,-152.3375281,10.57567571,12.88264366,-13.79802948,139.061814,
1668722000,-17.75171659,-9.12963195,-18.31192429,-153.5147441,10.63540835,12.06029529,-13.79502843,138.8690878,
1680720000,-17.73734587,-10.3770227,-18.32404305,-154.6745987,10.72141569,11.19756511,-13.81894845,138.7147048,
1692718000,-17.73697315,-11.90564643,-18.32947816,-155.8562077,10.79786685,10.28395966,-13.83711953,138.715192,
1704716000,-17.72706275,-13.38690442,-18.3181564,-157.0191267,10.87725949,9.234577272,-13.8506229,138.6397506,
1716714000,-17.70327119,-14.95265644,-18.31456776,-158.2622508,10.94993202,8.111932773,-13.8863027,138.6525761,
1728712000,-17.71221072,-16.43901312,-18.3001471,-159.4007866,11.0295464,6.833792912,-13.93674224,138.2478323,
1740710000,-17.69924362,-18.2243232,-18.3160396,-160.5481303,11.09698384,5.340880499,-13.98611786,137.719541,
1752708000,-17.68289901,-19.97576715,-18.33044798,-161.7556772,11.15824739,3.72653635,-14.00762852,137.2646576,
1764706000,-17.63032005,-21.60134457,-18.31699597,-163.0615364,11.20826739,1.873076436,-14.05416901,136.3684285,
1776704000,-17.62319445,-23.27921676,-18.31802167,-164.1976302,11.25019224,0.007290640009,-14.0618209,135.5979837,
1788702000,-17.59831672,-25.02730477,-18.31954204,-165.377524,11.27141019,-1.926231813,-14.09343078,134.7769106,
1800700000,-17.55583646,-27.0477095,-18.31612274,-166.5021038,11.28344632,-3.980236438,-14.10328332,133.9730331,
1812698000,-17.58973231,-28.82376289,-18.33951814,-167.7432542,11.23809007,-5.84475792,-14.12999856,133.3263105,
1824696000,-17.5928569,-30.36708352,-18.32364001,-168.9479576,11.17921837,-7.615372846,-14.16218584,132.7249981,
1836694000,-17.59486723,-32.06592047,-18.3118315,-170.1059337,11.10589164,-9.224703309,-14.20270196,132.1705175,
1848692000,-17.62538823,-33.52365401,-18.32161439,-171.3392302,11.01033814,-10.77504057,-14.26115576,131.8972006,
1860690000,-17.62109577,-34.84823628,-18.32603907,-172.3978826,10.90807058,-11.96439333,-14.33103852,131.9273201,
1872688000,-17.64528081,-36.10150175,-18.32522603,-173.5174839,10.809812,-13.07159258,-14.38977904,131.9208393,
1884686000,-17.67428619,-37.39624768,-18.33575313,-174.7252418,10.69607333,-14.04639524,-14.45677989,132.1054502,
1896684000,-17.67347993,-38.76274122,-18.34062345,-175.8774314,10.59992641,-14.86159322,-14.51711062,132.3814573,
1908682000,-17.66725798,-40.11293741,-18.35615094,-177.0532872,10.53097122,-15.68919049,-14.58838552,132.4794152,
1920680000,-17.66520865,-41.62754989,-18.36004799,-178.1477321,10.484855,-16.36870199,-14.63136569,132.4426588,
1932678000,-17.66897502,-42.90419983,-18.375409,-179.3839332,10.46374292,-16.98266052,-14.65841616,132.3945253,
1944676000,-17.67317815,-44.35070061,-18.38356706,179.5205025,10.47377417,-17.59516547,-14.67375535,132.2802548,
1956674000,-17.65919839,-45.63985075,-18.38343755,178.3648474,10.51291307,-18.20279923,-14.65572976,132.0056019,
1968672000,-17.64030292,-47.01855812,-18.40353034,177.1555041,10.57489346,-18.878604,-14.66042652,131.6522001,
1980670000,-17.60193984,-48.47264538,-18.4242366,176.0346706,10.66309449,-19.58741848,-14.64896174,131.1716466,
1992668000,-17.56196019,-50.06212546,-18.42983578,174.922801,10.7705321,-20.4427412,-14.64416099,130.5975899,
2004666000,-17.54631472,-51.74836306,-18.42983879,173.7307136,10.88612256,-21.37285809,-14.65260016,130.2301193,
2016664000,-17.53706296,-53.53011593,-18.44239863,172.6488231,10.99360621,-22.56520018,-14.6711551,129.8919203,
2028662000,-17.53052002,-55.14465952,-18.44148063,171.5058142,11.1043068,-23.85705784,-14.73321334,129.1118494,
2040660000,-17.52695293,-57.14081342,-18.46236503,170.4151121,11.19988887,-25.20549583,-14.76912196,128.2890397,
2052658000,-17.55186522,-59.17553952,-18.47912995,169.2229928,11.2779785,-26.86346587,-14.82218593,127.3125729,
2064656000,-17.57045816,-60.8696851,-18.4909733,168.10063,11.33628915,-28.72806515,-14.89410303,126.5722201,
2076654000,-17.60888248,-62.8031238,-18.50768411,167.0402144,11.37598519,-30.66785926,-14.96670311,125.9706761,
2088652000,-17.65378776,-64.50367384,-18.53505272,165.8817305,11.39445293,-32.7224425,-15.05310958,125.3822666,
2100650000,-17.71954626,-65.99641159,-18.5422694,164.8247701,11.39319535,-34.70738756,-15.10518719,124.8934545,
2112648000,-17.76264607,-67.6467535,-18.54257007,163.6601717,11.36880054,-36.69881996,-15.19165263,124.4856079,
2124646000,-17.80482378,-69.12907203,-18.56382697,162.5860798,11.31237134,-38.57330609,-15.31215471,124.2989276,
2136644000,-17.84131383,-70.45180171,-18.57432024,161.4642299,11.23697523,-40.35275152,-15.42004277,124.0258649,
2148642000,-17.84357932,-71.90811423,-18.56871784,160.4073709,11.14194469,-41.95345806,-15.50515619,123.7554275,
2160640000,-17.8360961,-73.02995404,-18.60720627,159.3743888,11.04227877,-43.27998675,-15.50384129,123.6199171,
2172638000,-17.79550138,-74.56909439,-18.59940698,158.2413863,10.94133825,-44.41160664,-15.46276306,123.5324222,
2184636000,-17.78205413,-75.81883353,-18.6121473,157.1643799,10.81139773,-45.43502892,-15.39400933,123.8745293,
