Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1236794000,-18.75507656,50.66671573,-18.75467783,-112.1533024,11.09228958,54.07332585,-12.75383813,152.4203242,
1248792000,-18.79904271,49.10115579,-18.75886577,-113.2989527,11.03938594,52.89584572,-12.77842998,152.1138196,
1260790000,-18.81204997,47.55189433,-18.75471781,-114.2383444,10.98561457,51.75107968,-12.827735,151.8960101,
1272788000,-18.84392052,45.90030961,-18.74597331,-115.3981406,10.94558442,50.64694637,-12.86868836,151.7752351,
1284786000,-18.87550782,44.35774381,-18.73449852,-116.48983,10.91069112,49.64915615,-12.90577569,151.3331324,
1296784000,-18.87629117,42.84299572,-18.74004606,-117.5504724,10.89347517,48.66877761,-12.94942093,151.0939601,
1308782000,-18.88534007,41.52042155,-18.73092488,-118.7008722,10.87704091,47.77255491,-13.01792696,150.741959,
1320780000,-18.89303527,39.95277091,-18.71710014,-119.7258532,10.88111188,46.84098132,-13.05794741,150.4624418,
1332778000,-18.89363553,38.57169627,-18.72571516,-120.8999853,10.89520073,45.97478223,-13.09549009,150.1633911,
1344776000,-18.92415344,37.20312082,-18.6960355,-121.975417,10.92561345,45.0604394,-13.14337614,149.988153,
1356774000,-18.94371973,35.99994137,-18.6867344,-123.1643131,10.96709571,44.13857984,-13.18970345,149.7511823,
1368772000,-18.94192225,34.56319549,-18.70815466,-124.2109242,11.01692723,43.12428066,-13.23920959,149.49946,
1380770000,-18.93783296,33.24540214,-18.70851482,-125.3997663,11.07547358,42.11874345,-13.28846651,149.2303295,
1392768000,-18.94305937,31.90190054,-18.6827598,-126.5853391,11.13389167,41.04473051,-13.31504558,149.0060911,
1404766000,-18.94572611,30.63629258,-18.67702331,-127.6380708,11.18624732,39.85343251,-13.36112095,148.86601,
1416764000,-18.93246459,29.2770272,-18.69337417,-128.8022623,11.23489308,38.55536263,-13.40092495,148.5819708,
1428762000,-18.91680129,28.02789756,-18.66738058,-129.8867901,11.27433342,37.24239925,-13.45150762,148.4749075,
1440760000,-18.92395877,26.92757062,-18.63580173,-131.0370005,11.31935445,35.7094316,-13.49258118,148.2161662,
1452758000,-18.89221886,25.60004719,-18.65186565,-132.1371291,11.36005031,34.21801823,-13.53335243,147.8793442,
1464756000,-18.86322485,24.31303611,-18.63409465,-133.2690305,11.38792051,32.54201437,-13.55716215,147.4912848,
1476754000,-18.83860031,22.87592131,-18.64507311,-134.4167928,11.40423833,30.85115408,-13.57225483,147.1257542,
1488752000,-18.79366233,21.45450378,-18.62670057,-135.5936014,11.42647629,29.2562273,-13.58912714,146.7199943,
1500750000,-18.79073216,20.06525715,-18.6077226,-136.6655038,11.42265536,27.60029268,-13.58234101,146.2812018,
1512748000,-18.75109994,18.42701518,-18.61116723,-137.8206792,11.38543173,25.96000463,-13.62977252,145.8835861,
1524746000,-18.73918247,16.86502703,-18.60363284,-138.9510694,11.3436087,24.3928903,-13.65457521,145.4123388,
1536744000,-18.76344877,15.22763043,-18.59080754,-140.05853,11.28743773,22.93807565,-13.67168628,145.0383389,
1548742000,-18.78881242,13.55266282,-18.57900426,-141.2736291,11.2144163,21.59527361,-13.70033978,144.6639275,
1560740000,-18.8243554,12.13990624,-18.57216335,-142.3765552,11.13576678,20.38905214,-13.74173012,144.3031921,
1572738000,-18.87526361,10.44026481,-18.57529128,-143.5605542,11.05682303,19.25324787,-13.80369816,144.0810789,
1584736000,-18.90393409,8.879963082,-18.56723432,-144.6137938,10.9798009,18.27698517,-13.86952372,144.0810984,
1596734000,-18.94580445,7.200002613,-18.54702635,-145.8004015,10.91245259,17.39473876,-13.94798376,144.1453212,
1608732000,-18.98774664,5.555031383,-18.54615216,-146.9914548,10.86210188,16.57957859,-14.04492376,143.940483,
1620730000,-19.01687835,4.030928438,-18.52198598,-148.0839156,10.83815433,15.72794959,-14.10452009,143.7536408,
1632728000,-19.02824605,2.481377126,-18.52821635,-149.1151681,10.83757593,14.98903647,-14.17533941,143.5340287,
1644726000,-19.06610383,1.159409442,-18.5249475,-150.3138303,10.8596895,14.28610408,-14.23797049,143.316408,
1656724000,-19.10556363,-0.133181797,-18.52128026,-151.4385725,10.90416155,13.50914843,-14.30012832,142.9339859,
1668722000,-19.11437687,-1.339380001,-18.51224747,-152.6001085,10.95637941,12.67269812,-14.2980478,142.7799639,
1680720000,-19.0984409,-2.500834916,-18.52069662,-153.7529737,11.03449613,11.82248085,-14.32403371,142.6733724,
1692718000,-19.10138943,-3.949283766,-18.52660469,-154.9334826,11.10401049,10.95825474,-14.35153243,142.7152029,
1704716000,-19.09362679,-5.356167597,-18.51265936,-156.0442223,11.17900906,9.924433293,-14.36676867,142.6918015,
