Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
660890000,-17.69382279,111.0897279,-18.94453443,-60.04705134,10.6611096,113.460443,-11.06994632,163.8650141,
672888000,-17.68863449,109.6406795,-18.92915633,-61.09949309,10.66047757,112.4101933,-11.09597569,163.4646132,
684886000,-17.68904283,108.3257586,-18.94242443,-62.12279835,10.67400666,111.3394016,-11.11944835,163.0726959,
696884000,-17.69438908,107.019981,-18.92963997,-63.20537391,10.68045228,110.255999,-11.12913281,162.7958066,
708882000,-17.68114043,105.549567,-18.92047521,-64.18690567,10.7122951,109.1854859,-11.14920363,162.5075614,
720880000,-17.69142815,104.2649843,-18.9148795,-65.24781566,10.73745318,108.0726323,-11.17524326,162.3172305,
732878000,-17.6917054,102.9340394,-18.92357552,-66.37164093,10.76778155,106.9663589,-11.19663608,162.0036863,
744876000,-17.69096116,101.7352001,-18.91257308,-67.43255772,10.79506969,105.816158,-11.22030506,161.792775,
756874000,-17.70137388,100.3928864,-18.90962104,-68.5228517,10.83063647,104.6076388,-11.24894588,161.5300763,
768872000,-17.71382539,99.04252028,-18.89174793,-69.55228454,10.86012132,103.3471463,-11.27343755,161.2777977,
780870000,-17.70084929,97.81303536,-18.88789794,-70.72891454,10.8899185,102.0571444,-11.2996585,160.9742575,
792868000,-17.71255441,96.43855223,-18.88443612,-71.81179909,10.91616688,100.7078316,-11.32566521,160.6183049,
804866000,-17.69565093,95.13334635,-18.88107208,-72.84832276,10.93735805,99.30762509,-11.35157445,160.3097554,
816864000,-17.69975026,93.80202324,-18.87652948,-73.9829966,10.94619493,97.86884581,-11.37974362,160.0465386,
828862000,-17.67913616,92.40415706,-18.88389292,-75.07026696,10.95446205,96.37772135,-11.40214746,159.7284163,
840860000,-17.66374433,91.00578427,-18.87624741,-76.1130421,10.94768586,94.92297672,-11.42559338,159.4786715,
