Frequency,S11_Magnitude,S11_Phase,S11_Resistance,S11_Reactance,S11_Inductance,S12_Magnitude,S12_Phase,S12_Resistance,S12_Reactance,S12_Inductance,S21_Magnitude,S21_Phase,S21_Resistance,S21_Reactance,S21_Inductance,S22_Magnitude,S22_Phase,S22_Resistance,S22_Reactance,S22_Inductance,
3388000,-0.6996710675,-4.699762096,610.1316854,-619.92696,-2.912173555e-05,-55.53374586,76.30264332,50.03935021,0.1626017536,7.63839222e-09,14.66635385,-82.1478033,-49.0950021,-18.61005831,-8.742275003e-07,-0.1436050558,168.9338542,0.4171975299,4.843249101,2.275168344e-07,
3587000,-0.7090442334,-5.018436553,570.1204816,-610.2611986,-2.707724738e-05,-49.41507002,62.16950755,50.15726839,0.3000758161,1.33143433e-08,14.96323193,-83.25855952,-48.89611869,-17.91454061,-7.948669336e-07,-0.1798592375,168.0619728,0.5233165638,5.227307386,2.319352689e-07,
3786000,-0.7920374148,-5.274272822,543.898635,-547.5342779,-2.301711221e-05,-52.18795049,46.98005319,50.16766284,0.1803206183,7.5802741e-09,15.23544085,-84.28435073,-48.72247433,-17.29937735,-7.27226999e-07,-0.1768591524,167.2098035,0.5154177773,5.603479135,2.35557687e-07,
3985000,-0.8112534464,-5.210793389,550.3635993,-534.3903338,-2.134275111e-05,-57.33811943,87.51111523,50.00571591,0.1357483615,5.421586638e-09,15.50373468,-85.4343595,-48.52194712,-16.70345213,-6.671109094e-07,-0.1590454514,166.5981833,0.4640750099,5.873954521,2.34596963e-07,
4184000,-0.8523585606,-5.425656085,528.4906729,-508.4085764,-1.933932554e-05,-52.55948663,58.07321779,50.1243049,0.2003886954,7.62257443e-09,15.76482482,-86.50599973,-48.35174035,-16.14597523,-6.141758531e-07,-0.1768829807,165.6796808,0.517125763,6.28048841,2.38903149e-07,
4383000,-0.9053459101,-5.502251464,519.7837728,-477.2945252,-1.733145859e-05,-52.89361574,83.01754101,50.02705165,0.2250729804,8.172821672e-09,15.98991559,-87.47494817,-48.20146573,-15.67642133,-5.692402336e-07,-0.2002431382,164.8330147,0.5865344557,6.655863015,2.416868582e-07,
4582000,-0.9222307611,-5.690928706,503.1632573,-469.0445857,-1.629217904e-05,-48.36368682,78.47388966,50.07494128,0.3746492155,1.301337289e-08,16.22760391,-88.39754562,-48.077337,-15.2018937,-5.280350343e-07,-0.1984457491,164.162223,0.582197101,6.953949763,2.4154419e-07,
4781000,-0.9861260893,-5.838625134,488.7570724,-436.9969453,-1.454721271e-05,-51.28192426,73.39706035,50.07733547,0.2618685261,8.717354187e-09,16.44365144,-89.33521253,-47.94617551,-14.77526178,-4.918544129e-07,-0.1994568952,163.4902137,0.5861391784,7.253038567,2.41446756e-07,
4980000,-1.029276604,-5.769227021,491.0394047,-415.5693301,-1.328110705e-05,-46.43357147,96.04104202,49.94760343,0.4736499423,1.51372951e-08,16.65003582,-90.27529737,-47.81693717,-14.37475628,-4.594003046e-07,-0.2441758539,162.6171751,0.7191672893,7.641860636,2.442248785e-07,
5179000,-1.040999373,-5.973014216,475.9946569,-412.2975111,-1.26702427e-05,-48.3474871,82.98060641,50.04532158,0.3799777037,1.167702835e-08,16.88411717,-91.12030596,-47.73011689,-13.94844214,-4.286471354e-07,-0.2433015186,161.881529,0.7180303652,7.97061683,2.449436316e-07,
5378000,-1.056335267,-6.063391268,468.9548555,-406.3081881,-1.202416448e-05,-50.37779644,58.52971826,50.15764221,0.2590508456,7.666274189e-09,17.1249625,-91.91121134,-47.66395157,-13.52796504,-4.003426005e-07,-0.2339178976,161.0568038,0.6919638186,8.340098763,2.468144188e-07,
5577000,-1.050199903,-6.183906774,461.3021364,-409.9840562,-1.170001598e-05,-51.54521479,63.2254401,50.11882025,0.23687568,6.759895171e-09,17.35004504,-92.79444421,-47.57452863,-13.135732,-3.74864027e-07,-0.236381088,160.1140592,0.7012199072,8.763370437,2.500867354e-07,
5776000,-1.043356366,-6.337714925,451.4916113,-413.9153113,-1.140524027e-05,-47.82505962,58.09953181,50.21392282,0.3463373502,9.543161575e-09,17.55914039,-93.59021454,-47.50165516,-12.782467,-3.522148212e-07,-0.2751249168,159.3770536,0.8180100253,9.094526453,2.50595367e-07,
5975000,-1.02171916,-6.388588126,448.7624969,-423.5261456,-1.128138571e-05,-46.93824242,77.5934041,50.09481127,0.4402073348,1.172571938e-08,17.79289934,-94.3570872,-47.45051033,-12.40648982,-3.304693189e-07,-0.2838231694,158.4517508,0.8464064382,9.511978623,2.533687726e-07,
6174000,-1.043599495,-6.595588363,434.9533686,-414.8108162,-1.069309878e-05,-49.59112076,62.13009052,50.15432858,0.293930697,7.577020303e-09,17.9735446,-95.16481962,-47.37038345,-12.10803725,-3.121240653e-07,-0.2645935538,157.6990292,0.7910808398,9.852995754,2.539930318e-07,
6373000,-1.049359462,-6.602667379,434.4072265,-412.4451982,-1.030012428e-05,-47.50355292,78.27455598,50.08402866,0.4134289256,1.032469122e-08,18.14830236,-95.83437365,-47.31877292,-11.83303954,-2.95510236e-07,-0.2844955683,156.853144,0.8530987426,10.23650196,2.556393986e-07,
6572000,-1.041701135,-6.848836864,419.2860053,-415.9109891,-1.007216826e-05,-44.69983644,68.88836409,50.20714258,0.5453111358,1.320586774e-08,18.36211707,-96.61660089,-47.2664577,-11.50678378,-2.786612169e-07,-0.3054932339,156.2027743,0.9182110251,10.53198635,2.550544261e-07,
6771000,-1.036970338,-6.83412076,420.1842871,-417.8172212,-9.820953488e-06,-48.02370114,81.06711234,50.06014556,0.3926847942,9.230206183e-09,18.55923054,-97.40010844,-47.20995254,-11.2089167,-2.634698715e-07,-0.3173862613,155.2504746,0.9573633065,10.9662897,2.57766831e-07,
6970000,-1.065876569,-6.883239018,417.1270774,-406.3604198,-9.278948276e-06,-47.71669627,69.33622303,50.14386656,0.385959564,8.813109389e-09,18.72656128,-98.01521158,-47.17387761,-10.9648375,-2.503741877e-07,-0.3160488142,154.5631934,0.9558775212,11.28093886,2.575921353e-07,
7169000,-1.036220824,-7.20341356,398.147158,-417.4908301,-9.268479469e-06,-45.07639057,80.48566862,50.08919236,0.5507474453,1.222683475e-08,18.90460793,-98.85904643,-47.10451163,-10.69732131,-2.374852231e-07,-0.3338694255,153.636544,1.013521241,11.70601122,2.598785812e-07,
