Frequency (MHz)	Matching Parameter (linear)
56.842222	0.18677219640778042
56.946666	0.18737981879792076
57.051111	0.18790757972770478
57.155555	0.18849683618757807
57.26	0.18909163652027328
57.364444	0.1898677686475222
57.468888	0.19057427723117426
57.573333	0.19129187910073364
57.677777	0.19218896752022474
57.782222	0.19303053171655948
57.886666	0.1940040721252947
57.991111	0.1949370957468931
58.095555	0.19598781263665133
58.2	0.19708242386856656
58.304444	0.1981602414640916
58.408888	0.19924674324652603
58.513333	0.2006596497276225
58.617777	0.20181963932844538
58.722222	0.20323294504251466
58.826666	0.20451371305474464
58.931111	0.20612658891076385
59.035555	0.2074640169867895
59.14	0.2091275277323119
59.244444	0.2106577157550763
59.348888	0.21235569646974106
59.453333	0.2139553444941873
59.557777	0.21584889739357593
59.662222	0.21774462317689058
59.766666	0.21956732338874252
59.871111	0.22168889819801108
59.975555	0.2235756496932516
60.08	0.22582258760026752
60.184444	0.22801841021184266
60.288888	0.23026921044451776
60.393333	0.23240873349874502
60.497777	0.23474104228389947
60.602222	0.2372023735966462
60.706666	0.23972847835534283
60.811111	0.24224898939904982
60.915555	0.24476707757659466
61.02	0.2474203254776416
61.124444	0.2501371918557188
61.228888	0.25317197251357915
61.333333	0.25579970328378265
61.437777	0.2587927224141242
61.542222	0.2616228048459629
61.646666	0.2649023886508788
61.751111	0.26824474718871627
61.855555	0.27148097620239275
61.96	0.27475154077759867
62.064444	0.2781509433878009
62.168888	0.2816319873524874
62.273333	0.28514962314214876
62.377777	0.2887439448702188
62.482222	0.29260048570170905
62.586666	0.29637712969893315
62.691111	0.3002865989509482
62.795555	0.3043590468368981
62.9	0.3084968778546081
63.004444	0.3126800601483931
63.108888	0.31700550119374715
63.213333	0.32133783091270385
63.317777	0.3258470211759036
63.422222	0.33020287719506924
63.526666	0.3348420797972921
63.631111	0.33972128778331345
63.735555	0.344406721911488
63.84	0.3493620775173396
63.944444	0.3542970741288599
64.048888	0.35938356747855194
64.153333	0.36455464587921926
64.257777	0.3698315897962876
64.362222	0.3751003065794357
64.466666	0.3804649662376416
64.571111	0.38609947030956393
64.675555	0.39154340663459974
64.78	0.39725213710775475
64.884444	0.40291407223099684
64.988888	0.4087190700549318
65.093333	0.4145508818447087
65.197777	0.4204375948184189
65.302222	0.4263918201064484
65.406666	0.4324802532542258
65.511111	0.43853253194073893
65.615555	0.44475645956848286
65.72	0.4508400982245545
65.824444	0.4571391644070615
65.928888	0.4632449431233284
66.033333	0.4696648082272036
66.137777	0.475833129203587
66.242222	0.48205386444574727
66.346666	0.48830490224598144
66.451111	0.49448741481518443
66.555555	0.5007728131164346
66.66	0.5069171309977898
66.764444	0.5129256646456256
66.868888	0.5189990125493575
66.973333	0.5249264479243267
67.077777	0.5307791800003211
67.182222	0.5365706503164364
67.286666	0.5422260146820925
67.391111	0.5477005090548759
67.495555	0.553060208657107
67.6	0.5581848548276617
67.704444	0.5631764973411104
67.808888	0.5680987842385131
67.913333	0.5725951976854298
68.017777	0.5770384166427682
68.122222	0.5812715514991085
68.226666	0.5851280762874067
68.331111	0.5888542125990717
68.435555	0.5922604835505838
68.54	0.5955172177867494
68.644444	0.5984028435633507
68.748888	0.601037713285673
68.853333	0.603514905455488
68.957777	0.6055183369104011
69.062222	0.6072684156350738
69.166666	0.6088395974953202
69.271111	0.610086030997927
69.375555	0.6109742634966653
69.48	0.6116922943687373
69.584444	0.6119864634818273
69.688888	0.6121155113644579
69.793333	0.6119740857450792
69.897777	0.6114598919651532
70.002222	0.6106820620472335
70.106666	0.6098303506070419
70.211111	0.6085119310359294
70.315555	0.6071239130929462
70.42	0.6054162915724721
70.524444	0.6035008255965814
70.628888	0.6014128584952134
70.733333	0.5989632023294043
70.837777	0.5964310920178266
70.942222	0.5937279629466792
71.046666	0.5908848080707068
71.151111	0.5878560088731972
71.255555	0.5847680480743787
71.36	0.5813578711620979
71.464444	0.577942615938497
71.568888	0.5744192505798276
71.673333	0.5706439880352839
71.777777	0.566869347242157
71.882222	0.5630397654892756
71.986666	0.5591512601962071
72.091111	0.5551821094195017
72.195555	0.5510614194695141
72.3	0.5470617337915482
72.404444	0.542810168035022
72.508888	0.5386296435934681
72.613333	0.5344293604220015
72.717777	0.5302396059800027
72.822222	0.5260870728330238
72.926666	0.5219694105901657
73.031111	0.5178142734985886
