Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_VSWR,
347173333,-4.282843001,0.6107420886,-47.97278518,4.137981635,
347415555,-3.654713255,0.6565447566,-61.89135116,4.823175038,
347657777,-3.999172191,0.6310174807,-64.66576055,4.420310978,
347900000,-2.853705084,0.7199705725,-72.8995282,6.14210652,
348142222,-3.349324776,0.6800389078,-86.35841125,5.250760011,
348384444,-4.447753804,0.5992558879,-94.99002553,3.990715869,
348626666,-5.658454315,0.5212874678,-100.3884389,3.177872659,
348868888,-6.551053147,0.4703783698,-102.5401098,2.776280813,
349111111,-7.41294913,0.4259440378,-115.381705,2.483980886,
349353333,-11.97898805,0.2517970266,-137.7480963,1.673071441,
349595555,-29.0072015,0.03545193341,-12.55664044,1.073509936,
349837777,-10.3750796,0.3028628607,-14.15739014,1.868875989,
350080000,-6.628967923,0.466177817,-35.20955203,2.746565923,
350322222,-6.121116431,0.4942471554,-45.14545069,2.954500743,
350564444,-4.309427055,0.6088757075,-45.95637636,4.113464028,
350806666,-3.010300892,0.7071067051,-58.82752953,5.82842535,
351048888,-2.853984472,0.7199474145,-70.09610218,6.141515927,
351291111,-3.222133607,0.6900702737,-79.53627311,5.453075748,
351533333,-4.34530716,0.6063657213,-83.30610157,4.08085832,
351775555,-3.825516523,0.643760275,-79.1504762,4.614197013,
352017777,-3.082473145,0.7012556006,-86.22008673,5.694686172,
352260000,-3.209389681,0.691083487,-93.74982124,5.47424115,
352502222,-3.43872956,0.6730750963,-97.6077112,5.117612875,
352744444,-3.034302568,0.7051554577,-101.949397,5.783235615,
352986666,-2.601462815,0.7411854057,-111.816255,6.727539498,
353228888,-2.694899652,0.7332549735,-125.8812028,6.497796777,
353471111,-3.435402934,0.673332928,-144.2170177,5.122441383,
353713333,-5.517706171,0.5298033395,-172.2472285,3.253539355,
353955555,-13.12096148,0.2207760333,134.6447047,1.566656168,
354197777,-12.58574628,0.23480789,-36.175551,1.613722716,
354440000,-7.001600895,0.4466012715,-94.70342741,2.614030711,
354682222,-7.895403617,0.4029301998,-140.6637445,2.349692112,
354924444,-13.59287288,0.2091011186,163.3728002,1.528768275,
355166666,-15.05818833,0.1766406213,34.47751354,1.429072956,
355408888,-9.840728988,0.3220798465,-27.83910208,1.950199946,
355651111,-9.343467888,0.3410567157,-53.62332437,2.035162582,
355893333,-10.19977254,0.3090376361,-56.46980807,1.894513659,
356135555,-9.040742575,0.3531529767,-46.03981966,2.091921162,
356377777,-5.818749439,0.5117555108,-46.77330114,3.096308395,
356620000,-3.605005358,0.6603128244,-62.57086029,4.887770113,
356862222,-3.341894728,0.6806208728,-79.48640254,5.262149996,
357104444,-3.780842463,0.647079851,-89.76245101,4.667004295,
357346666,-4.077756377,0.6253341999,-97.97830377,4.338090638,
357588888,-4.620310762,0.5874683338,-104.8396061,3.848112676,
357831111,-4.853035285,0.5719370562,-109.9610805,3.672210078,
358073333,-4.970468437,0.5642565097,-120.1348304,3.589856291,
358315555,-6.814125015,0.4563454758,-135.2075441,2.678806872,
358557777,-10.89169209,0.2853746523,-127.3867121,1.79866927,
358800000,-9.174857751,0.3477419719,-112.0397043,2.06627119,
359042222,-10.41392233,0.3015115015,-126.6716231,1.863325601,
359284444,-11.12129026,0.2779300381,-94.41312634,1.769814707,
359526666,-7.691360704,0.4125076099,-97.34012281,2.404299415,
359768888,-6.50582255,0.4728341903,-107.2221111,2.79387275,
360011111,-5.509359688,0.5303126851,-116.5847567,3.258152044,
360253333,-4.755831183,0.5783735728,-131.8904341,3.743535677,
360495555,-5.027215907,0.5605820722,-151.0377283,3.551475654,
360737777,-6.035917534,0.4991190239,-169.0767338,2.992964587,
360980000,-6.916453872,0.4510007939,168.5882553,2.642992518,
361222222,-8.800623074,0.3630520107,132.533666,2.139973802,
361464444,-13.81192394,0.2038936981,81.26581821,1.512227319,
361706666,-20.64613628,0.09283103361,63.65893132,1.204660955,
361948888,-14.52928493,0.1877308963,29.58088608,1.46223818,
362191111,-12.47477138,0.2378271496,-22.56422623,1.624076676,
362433333,-14.60800447,0.1860371924,-42.78174984,1.457114725,
362675555,-14.11650827,0.1968677541,-23.69264786,1.490249906,
362917777,-9.02298773,0.3538755957,-34.8395628,2.095379136,
363160000,-8.054705343,0.3956076971,-58.67247241,2.309108985,
363402222,-9.086041146,0.3513160108,-69.3305668,2.083165352,
363644444,-8.857638036,0.3606767089,-65.67938908,2.12830774,
363886666,-6.971432086,0.4481551543,-70.776519,2.624207086,
364128888,-5.868497564,0.5088328271,-85.03995553,3.071933367,
364371111,-5.934448459,0.5049839523,-102.5301534,3.040273056,
364613333,-7.762966224,0.4091209214,-120.3512398,2.384787298,
364855555,-11.61537118,0.2625617395,-121.4938376,1.712091448,
365097777,-14.26913779,0.1934385866,-99.32124652,1.479662388,
365340000,-9.763899987,0.3249413651,-75.81502199,1.962705603,
365582222,-7.894343027,0.4029794025,-88.33508315,2.349968173,
365824444,-5.81000187,0.51227116,-92.69884557,3.100639199,
366066666,-5.856071033,0.5095613134,-111.4423298,3.077981723,
366308888,-5.304825862,0.5429485866,-114.2581601,3.37587532,
366551111,-4.449032507,0.5991676743,-133.5460508,3.989617532,
366793333,-5.682059648,0.5198727067,-154.1098106,3.165561983,
367035555,-8.441080903,0.3783954929,-167.7227727,2.217479888,
367277777,-11.28105721,0.2728645643,-168.672704,1.750519232,
367520000,-13.92892048,0.2011657199,-163.725704,1.503648191,
367762222,-14.80489627,0.1818675375,-145.2530211,1.444591911,
368004444,-13.32747614,0.2155887989,-136.8886143,1.549683122,
368246666,-11.38478748,0.2696252905,-141.3425033,1.738320446,
368488888,-11.08796588,0.2789983957,-160.5502788,1.773918932,
368731111,-14.12594384,0.1966540106,-173.2212234,1.489587334,
368973333,-15.56501649,0.166628458,-165.6619304,1.399889964,
369215555,-17.78162188,0.1290978193,-166.635257,1.296469161,
369457777,-19.20316815,0.1096078332,-146.2534792,1.246201252,
369700000,-16.59366324,0.1480187861,-134.9373903,1.347469601,
369942222,-15.47122648,0.168437457,-144.9877226,1.405110736,
370184444,-16.67187304,0.1466919725,-148.456744,1.343819506,
370426666,-18.31743751,0.1213746874,-128.2953151,1.276283157,
370668888,-11.52219129,0.2653935938,-120.4465701,1.722546364,
370911111,-8.44982117,0.37801492,-153.2226715,2.215511215,
371153333,-8.438436876,0.3785106959,172.6447159,2.2180763,
371395555,-9.932624519,0.3186902479,138.8358764,1.935522343,
371637777,-12.51598269,0.2367014213,95.80301872,1.620206634,
