,canFreq_Mhz,numBins,idx,deltaIdx,deltaFreq_Hz
112,167.51903772354126,1,4258338,596.0,23446.083068847656
113,167.5424838066101,1,4258934,596.0,23446.083068847656
114,167.56592988967896,1,4259530,596.0,23446.083068847656
115,167.5893759727478,1,4260126,596.0,23446.083068847656
116,167.61282205581665,1,4260722,596.0,23446.083068847656
117,167.6362681388855,1,4261318,596.0,23446.083068847656
118,167.65971422195435,2,4261914,596.0,23446.083068847656
119,167.6831603050232,2,4262510,596.0,23446.083068847656
120,167.7066457271576,1,4263107,597.0,23485.422134399414
121,167.73009181022644,1,4263703,596.0,23446.083068847656
122,167.7535378932953,1,4264299,596.0,23446.083068847656
123,167.77698397636414,1,4264895,596.0,23446.083068847656
124,167.80043005943298,1,4265491,596.0,23446.083068847656
125,167.82387614250183,1,4266087,596.0,23446.083068847656
126,167.84732222557068,1,4266683,596.0,23446.083068847656
127,167.87076830863953,1,4267279,596.0,23446.083068847656
128,167.89421439170837,1,4267875,596.0,23446.083068847656
129,167.91766047477722,1,4268471,596.0,23446.083068847656
130,167.94110655784607,1,4269067,596.0,23446.083068847656
131,167.96455264091492,1,4269663,596.0,23446.083068847656
132,168.00046920776367,1,4270576,913.0,35916.56684875488
133,168.0114448070526,2,4270855,279.0,10975.59928894043
134,168.1287145614624,1,4273836,2981.0,117269.75440979004
135,168.83217573165894,1,4291718,17882.0,703461.1701965332
136,169.11356806755066,1,4298871,7153.0,281392.33589172363
137,169.1839063167572,1,4300659,1788.0,70338.24920654297
138,169.20735239982605,1,4301255,596.0,23446.083068847656
139,169.3480682373047,1,4304832,3577.0,140715.8374786377
140,169.41840648651123,1,4306620,1788.0,70338.24920654297
141,169.48874473571777,1,4308408,1788.0,70338.24920654297
142,169.53563690185547,1,4309600,1192.0,46892.16613769531
143,169.8170292377472,1,4316753,7153.0,281392.33589172363
144,169.9986970424652,1,4321371,4618.0,181667.80471801758
145,169.99999523162842,1,4321404,33.0,1298.1891632080078
146,172.49999284744263,1,4384954,63550.0,2499997.615814209
147,174.99865293502808,1,4448470,63516.0,2498660.087585449
148,174.99999046325684,1,4448504,34.0,1337.5282287597656
149,175.0005805492401,2,4448519,15.0,590.0859832763672
150,175.00494718551636,1,4448630,111.0,4366.636276245117
151,177.49998807907104,1,4512054,63424.0,2495040.8935546875
152,179.99821543693542,1,4575559,63505.0,2498227.35786438
153,179.99998569488525,1,4575604,45.0,1770.2579498291016
154,180.0133216381073,1,4575943,339.0,13335.943222045898
155,186.30942106246948,2,4735990,160047.0,6296099.424362183
156,189.99993681907654,4,4829803,93813.0,3690515.7566070557
157,190.44875621795654,1,4841212,11409.0,448819.3988800049
158,191.6675591468811,1,4872194,30982.0,1218802.9289245605
159,192.00052499771118,2,4880658,8464.0,332965.8508300781
160,192.00178384780884,1,4880690,32.0,1258.85009765625
161,192.00870752334595,4,4880866,176.0,6923.675537109375
162,192.09348320960999,2,4883021,2155.0,84775.68626403809
163,192.30945467948914,3,4888511,5490.0,215971.4698791504
164,192.49120116233826,2,4893131,4620.0,181746.4828491211
165,195.00001072883606,1,4956905,63774.0,2508809.5664978027
166,196.00897908210754,1,4982553,25648.0,1008968.3532714844
167,196.02192163467407,1,4982882,329.0,12942.55256652832
168,200.00000596046448,1,5084005,101123.0,3978084.3257904053
169,200.00067472457886,1,5084022,17.0,668.7641143798828
170,207.99834609031677,1,5287323,203301.0,7997671.365737915
171,209.9999964237213,1,5338205,50882.0,2001650.333404541
172,219.99829530715942,1,5592362,254157.0,9998298.88343811
173,219.99998688697815,1,5592405,43.0,1691.579818725586
174,233.3279049396515,1,5931201,338796.0,13327918.05267334
175,240.00067591667175,1,6100823,169622.0,6672770.977020264
176,250.00086307525635,1,6355028,254205.0,10000187.158584595
177,269.99950647354126,1,6863394,508366.0,19998643.398284912
178,270.0004506111145,1,6863418,24.0,944.1375732421875
179,289.9995267391205,1,7371795,508377.0,19999076.12800598
180,290.0004315376282,1,7371818,23.0,904.7985076904297
