% Model:              dipoleMoveInBox_6.28.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jul 1 2022, 13:05
% Table:              Table 6 - AF
% boxX (m)                                        boxY (m)                                          boxZ (m)                                          freq (MHz)                                        Point average: 20*log10(abs(emw.Ex/emw.Vport_1))  Point average: 20*log10(abs(emw.normE/emw.Vport_1))
0.65                                              -0.2                                              0.7                                               55.50275137568784                                 15.242289173048555                                22.14630474606716
0.65                                              -0.2                                              0.7                                               55.62781390695348                                 15.20835783357144                                 22.134818850751728
0.65                                              -0.2                                              0.7                                               55.752876438219104                                15.174809605667672                                22.1240665973697
0.65                                              -0.2                                              0.7                                               55.877938969484745                                15.143395163491757                                22.113827990584873
0.65                                              -0.2                                              0.7                                               56.003001500750365                                15.110840368356957                                22.104720687178126
0.65                                              -0.2                                              0.7                                               56.128064032016006                                15.077109941186022                                22.09677062911301
0.65                                              -0.2                                              0.7                                               56.25312656328164                                 15.042571943556617                                22.08987236250229
0.65                                              -0.2                                              0.7                                               56.37818909454727                                 15.008314452821805                                22.084082199701868
0.65                                              -0.2                                              0.7                                               56.50325162581291                                 14.974649146495121                                22.07947660600883
0.65                                              -0.2                                              0.7                                               56.62831415707854                                 14.94114945578499                                 22.076118989656997
0.65                                              -0.2                                              0.7                                               56.75337668834417                                 14.907747497838399                                22.074083694557824
0.65                                              -0.2                                              0.7                                               56.8784392196098                                  14.8744614798765                                  22.073450541683385
0.65                                              -0.2                                              0.7                                               57.00350175087544                                 14.841319768505594                                22.074302490302674
0.65                                              -0.2                                              0.7                                               57.12856428214106                                 14.808339040213827                                22.07672440269206
0.65                                              -0.2                                              0.7                                               57.253626813406704                                14.775510960845283                                22.08080245461416
0.65                                              -0.2                                              0.7                                               57.37868934467233                                 14.74279291954592                                 22.08662414662782
0.65                                              -0.2                                              0.7                                               57.503751875937965                                14.710107234577226                                22.09427900682123
0.65                                              -0.2                                              0.7                                               57.628814407203606                                14.677354754189242                                22.10386011036522
0.65                                              -0.2                                              0.7                                               57.753876938469226                                14.644441818496178                                22.115466434592758
0.65                                              -0.2                                              0.7                                               57.87893946973487                                 14.62953797568343                                 22.13652677168168
0.65                                              -0.2                                              0.7                                               58.0040020010005                                  14.62784491338137                                 22.16494817085645
0.65                                              -0.2                                              0.7                                               58.12906453226613                                 14.622523930956273                                22.19402665403682
0.65                                              -0.2                                              0.7                                               58.25412706353177                                 14.613630765239257                                22.223955414141912
0.65                                              -0.2                                              0.7                                               58.379189594797396                                14.60121167054671                                 22.254948445259338
0.65                                              -0.2                                              0.7                                               58.50425212606303                                 14.585301332733975                                22.287245156560132
0.65                                              -0.2                                              0.7                                               58.62931465732866                                 14.565917504978927                                22.321115936483757
