% Model:              dipoleMoveInBox_6.28.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jul 1 2022, 15:15
% Table:              Table 5 - Global Evaluation 3
% boxX (m)               boxY (m)                 boxZ (m)                 freq (MHz)               abs(emw.Vport_1) (V)
0.65                     -0.2                     0.7                      55.25262631315658        0.4337521372571703
0.65                     -0.2                     0.7                      55.3776888444222         0.4392943790997063
0.65                     -0.2                     0.7                      55.50275137568784        0.44494744242916573
0.65                     -0.2                     0.7                      55.62781390695348        0.45071411132651834
0.65                     -0.2                     0.7                      55.752876438219104       0.4565972605309488
0.65                     -0.2                     0.7                      55.877938969484745       0.4625998589858943
0.65                     -0.2                     0.7                      56.003001500750365       0.4687249735414418
0.65                     -0.2                     0.7                      56.128064032016006       0.47497577282019865
0.65                     -0.2                     0.7                      56.25312656328164        0.4813555312540316
0.65                     -0.2                     0.7                      56.37818909454727        0.48786763329936933
0.65                     -0.2                     0.7                      56.50325162581291        0.494515577839001
0.65                     -0.2                     0.7                      56.62831415707854        0.5013029827786056
0.65                     -0.2                     0.7                      56.75337668834417        0.5082335898465057
0.65                     -0.2                     0.7                      56.8784392196098         0.5153112696053906
0.65                     -0.2                     0.7                      57.00350175087544        0.5225400266850324
0.65                     -0.2                     0.7                      57.12856428214106        0.5299240052452487
0.65                     -0.2                     0.7                      57.253626813406704       0.5374674946786295
0.65                     -0.2                     0.7                      57.37868934467233        0.5451749355627871
0.65                     -0.2                     0.7                      57.503751875937965       0.553050925872152
0.65                     -0.2                     0.7                      57.628814407203606       0.5611002274596
0.65                     -0.2                     0.7                      57.753876938469226       0.5693277728184076
0.65                     -0.2                     0.7                      57.87893946973487        0.5777366309051193
0.65                     -0.2                     0.7                      58.0040020010005         0.5863455639233164
0.65                     -0.2                     0.7                      58.12906453226613        0.5951669681811729
0.65                     -0.2                     0.7                      58.25412706353177        0.6042078594026882
0.65                     -0.2                     0.7                      58.379189594797396       0.6134755498672846
0.65                     -0.2                     0.7                      58.50425212606303        0.6229776629487278
0.65                     -0.2                     0.7                      58.62931465732866        0.6327221483982237
0.65                     -0.2                     0.7                      58.7543771885943         0.6427172983981495
0.65                     -0.2                     0.7                      58.879439719859924       0.6529717644368324
0.65                     -0.2                     0.7                      59.004502251125565       0.6634945750979923
0.65                     -0.2                     0.7                      59.12956478239119        0.6742951548895424
0.65                     -0.2                     0.7                      59.254627313656826       0.6853833441982397
0.65                     -0.2                     0.7                      59.37968984492246        0.6967694203399021
0.65                     -0.2                     0.7                      59.50475237618809        0.7084641195768105
0.65                     -0.2                     0.7                      59.62981490745373        0.7204786599994641
0.65                     -0.2                     0.7                      59.75487743871936        0.7328247652828317
0.65                     -0.2                     0.7                      59.87993996998499        0.7455146894013386
0.65                     -0.2                     0.7                      60.00500250125063        0.7585612423695594
0.65                     -0.2                     0.7                      60.13006503251626        0.7719778170112309
0.65                     -0.2                     0.7                      60.25512756378188        0.785778416699896
0.65                     -0.2                     0.7                      60.380190095047524       0.7999776839743076
0.65                     -0.2                     0.7                      60.50525262631315        0.814590929901047
0.65                     -0.2                     0.7                      60.630315157578785       0.8296341640232094
0.65                     -0.2                     0.7                      60.75537768884442        0.8451241246885262
0.65                     -0.2                     0.7                      60.88044022011005        0.861078309485416
0.65                     -0.2                     0.7                      61.00550275137569        0.877515005420275
0.65                     -0.2                     0.7                      61.13056528264132        0.8944533183295738
0.65                     -0.2                     0.7                      61.25562781390695        0.9119132008200025
0.65                     -0.2                     0.7                      61.38069034517259        0.9299154777613521
0.65                     -0.2                     0.7                      61.50575287643822        0.948481868033264
0.65                     -0.2                     0.7                      61.63081540770384        0.967635000891262
0.65                     -0.2                     0.7                      61.75587793896948        0.9874215691261887
0.65                     -0.2                     0.7                      61.88094047023512        1.0079463813032965
0.65                     -0.2                     0.7                      62.006003001500744       1.029212773166085
0.65                     -0.2                     0.7                      62.131065532766385       1.0512564361169379
0.65                     -0.2                     0.7                      62.25612806403201        1.0741154191558826
0.65                     -0.2                     0.7                      62.381190595297646       1.097830320617597
0.65                     -0.2                     0.7                      62.50625312656328        1.122444477589228
0.65                     -0.2                     0.7                      62.63131565782891        1.1480041407864559
0.65                     -0.2                     0.7                      62.75637818909455        1.1745587662623318
0.65                     -0.2                     0.7                      62.88144072036018        1.2021620536619892
0.65                     -0.2                     0.7                      63.00650325162581        1.230873831802311
0.65                     -0.2                     0.7                      63.13156578289144        1.2607640862009823
0.65                     -0.2                     0.7                      63.25662831415708        1.2919219234407957
0.65                     -0.2                     0.7                      63.3816908454227         1.324217621762229
0.65                     -0.2                     0.7                      63.506753376688344       1.3580823017680617
0.65                     -0.2                     0.7                      63.63181590795398        1.3933962665716415
0.65                     -0.2                     0.7                      63.756878439219605       1.4302892373208163
0.65                     -0.2                     0.7                      63.881940970485246       1.4688395718202711
0.65                     -0.2                     0.7                      64.00700350175087        1.5091635363890015
0.65                     -0.2                     0.7                      64.13206603301651        1.551390419463206
0.65                     -0.2                     0.7                      64.25712856428214        1.5956501146272575
0.65                     -0.2                     0.7                      64.38219109554777        1.64209000732878
0.65                     -0.2                     0.7                      64.50725362681341        1.6908890626327886
0.65                     -0.2                     0.7                      64.63231615807904        1.7422399549244483
0.65                     -0.2                     0.7                      64.75737868934468        1.7963518397328855
0.65                     -0.2                     0.7                      64.8824412206103         1.8534611813671664
0.65                     -0.2                     0.7                      65.00750375187594        1.913835879674016
0.65                     -0.2                     0.7                      65.13256628314157        1.9777805976890823
0.65                     -0.2                     0.7                      65.25762881440721        2.045650235877124
0.65                     -0.2                     0.7                      65.38269134567284        2.117860801632156
0.65                     -0.2                     0.7                      65.50775387693847        2.19489733684844
0.65                     -0.2                     0.7                      65.6328164082041         2.2770711675827697
0.65                     -0.2                     0.7                      65.75787893946973        2.361166960220819
0.65                     -0.2                     0.7                      65.88294147073537        2.4511537178193104
0.65                     -0.2                     0.7                      66.008004002001          2.5476067479260793
0.65                     -0.2                     0.7                      66.13306653326663        2.6511746093327013
0.65                     -0.2                     0.7                      66.25812906453227        2.762590287255246
0.65                     -0.2                     0.7                      66.3831915957979         2.882684221301502
0.65                     -0.2                     0.7                      66.50825412706354        3.0123994337171274
0.65                     -0.2                     0.7                      66.63331665832916        3.1528091054376364
