% Model:              dipole_antenna (1).mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 28 2022, 00:17
% Table:              Table 6 - AF
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex/emw.Vport_1))  Point average: 20*log10(abs(emw.normE/emw.Vport_1))
131.1036789297659                                 4.034555973230655                                 34.20852828732241
131.9397993311037                                 4.118253495233221                                 31.277002743515304
132.77591973244148                                4.200066414686851                                 23.46828824084375
133.61204013377926                                4.3055193442479816                                20.55382368752239
134.448160535117                                  4.5168682381911225                                16.298893652306106
135.28428093645485                                4.516868238191123                                 16.29889365230611
136.12040133779266                                4.895082140054694                                 12.758493637129419
136.95652173913044                                4.895082140054694                                 12.758493637129417
137.79264214046822                                4.8950821400546936                                12.758493637129417
138.628762541806                                  5.044823192435229                                 12.290152922677716
139.4648829431438                                 5.605496742710435                                 11.107497816851811
140.30100334448161                                5.605496742710435                                 11.107497816851811
141.1371237458194                                 5.605496742710435                                 11.107497816851811
141.97324414715715                                6.1081920790373125                                11.04229641261788
142.80936454849498                                6.1081920790373125                                11.04229641261788
