% Model:              dipole_antenna (1).mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 28 2022, 09:52
% Table:              Table 6 - AF
% boxX (m)                                        boxY (m)                                          boxZ (m)                                          freq (MHz)                                        Point average: 20*log10(abs(emw.Ex/emw.Vport_1))  Point average: 20*log10(abs(emw.normE/emw.Vport_1))
-0.15                                             -0.2                                              0.1                                               101.83946488294313                                2.9346696352155788                                11.947414845721854
-0.15                                             -0.2                                              0.1                                               102.67558528428094                                2.9346696352155806                                11.947414845721854
-0.15                                             -0.2                                              0.1                                               103.51170568561872                                2.192090129711883                                 11.489973152652624
-0.15                                             -0.2                                              0.1                                               104.34782608695653                                2.1920901297118833                                11.489973152652624
-0.15                                             -0.2                                              0.1                                               105.1839464882943                                 2.192090129711882                                 11.489973152652624
-0.15                                             -0.2                                              0.1                                               106.0200668896321                                 2.1920901297118824                                11.489973152652624
-0.15                                             -0.2                                              0.1                                               106.85618729096988                                1.431000688391331                                 11.247725629522538
-0.15                                             -0.2                                              0.1                                               107.6923076923077                                 1.4310006883913309                                11.247725629522538
-0.15                                             -0.2                                              0.1                                               108.52842809364547                                1.4310006883913309                                11.247725629522538
-0.15                                             -0.2                                              0.1                                               109.36454849498327                                1.4310006883913309                                11.247725629522538
-0.15                                             -0.2                                              0.1                                               110.20066889632106                                1.4310006883913309                                11.247725629522538
-0.15                                             -0.2                                              0.1                                               111.03678929765886                                1.0003379778959494                                11.73325876350765
-0.15                                             -0.2                                              0.1                                               111.87290969899666                                1.0003379778959487                                11.733258763507646
-0.15                                             -0.2                                              0.1                                               112.70903010033445                                1.0003379778959485                                11.733258763507646
-0.15                                             -0.2                                              0.1                                               113.54515050167224                                1.0003379778959491                                11.733258763507646
-0.15                                             -0.2                                              0.1                                               114.38127090301003                                1.0003379778959494                                11.733258763507646
-0.15                                             -0.2                                              0.1                                               115.21739130434783                                1.0003379778959491                                11.733258763507646
-0.15                                             -0.2                                              0.1                                               116.05351170568561                                1.2670548385796514                                12.28130019129383
-0.15                                             -0.2                                              0.1                                               116.88963210702342                                1.4892094594482628                                12.820941548445175
-0.15                                             -0.2                                              0.1                                               117.7257525083612                                 1.9719243813771319                                14.79559168800531
-0.15                                             -0.2                                              0.1                                               118.56187290969899                                1.9719243813771317                                14.79559168800531
-0.15                                             -0.2                                              0.1                                               119.39799331103677                                1.9719243813771317                                14.79559168800531
-0.15                                             -0.2                                              0.1                                               120.23411371237458                                1.9719243813771317                                14.79559168800531
-0.15                                             -0.2                                              0.1                                               121.07023411371236                                1.9719243813771319                                14.79559168800531
-0.15                                             -0.2                                              0.1                                               121.90635451505017                                1.9719243813771288                                14.79559168800531
-0.15                                             -0.2                                              0.1                                               122.74247491638795                                13.716324396531222                                27.698432133312544
-0.15                                             -0.2                                              0.1                                               123.57859531772576                                13.716324396531219                                27.698432133312544
-0.15                                             -0.2                                              0.1                                               124.41471571906355                                13.716324396531219                                27.698432133312544
-0.15                                             -0.2                                              0.1                                               125.25083612040133                                4.648614888369446                                 15.702371212174373
-0.15                                             -0.2                                              0.1                                               126.08695652173913                                4.648614888369447                                 15.702371212174373
-0.15                                             -0.2                                              0.1                                               126.9230769230769                                 6.6589563517304855                                18.98209721366496
-0.15                                             -0.2                                              0.1                                               127.75919732441471                                6.6589563517304855                                18.98209721366496
-0.15                                             -0.2                                              0.1                                               128.59531772575252                                6.6589563517304855                                18.98209721366496
-0.15                                             -0.2                                              0.1                                               129.4314381270903                                 11.625469102999698                                22.4669149526263
-0.15                                             -0.2                                              0.1                                               130.26755852842808                                7.656231787520818                                 19.327596612527813
-0.15                                             -0.2                                              0.1                                               131.1036789297659                                 5.719786864554508                                 30.495091616276927
-0.15                                             -0.2                                              0.1                                               131.9397993311037                                 4.798893118665833                                 28.09029651311626
-0.15                                             -0.2                                              0.1                                               132.77591973244148                                4.629806154766234                                 21.409729102920434
-0.15                                             -0.2                                              0.1                                               133.61204013377926                                4.636171481084062                                 18.898288793720145
-0.15                                             -0.2                                              0.1                                               134.448160535117                                  4.751948957957672                                 15.31927142936301
-0.15                                             -0.2                                              0.1                                               135.28428093645485                                4.751948957957672                                 15.31927142936301
-0.15                                             -0.2                                              0.1                                               136.12040133779266                                5.159030120364484                                 12.965359244607532
-0.15                                             -0.2                                              0.1                                               136.95652173913044                                5.159030120364484                                 12.965359244607532
-0.15                                             -0.2                                              0.1                                               137.79264214046822                                5.159030120364484                                 12.965359244607532
-0.15                                             -0.2                                              0.1                                               138.628762541806                                  5.306252712075069                                 10.717516105556339
-0.15                                             -0.2                                              0.1                                               139.4648829431438                                 5.30625271207507                                  10.717516105556339
-0.15                                             -0.2                                              0.1                                               140.30100334448161                                5.35610532756277                                  10.554411576936504
-0.15                                             -0.2                                              0.1                                               141.1371237458194                                 5.7106310706484535                                10.898115525584378
-0.15                                             -0.2                                              0.1                                               141.97324414715715                                5.890142762980914                                 11.27933143036852
-0.15                                             -0.2                                              0.1                                               142.80936454849498                                6.0467940714463655                                11.58321782765786
-0.15                                             -0.2                                              0.1                                               143.6454849498328                                 6.031132767955347                                 12.87557710742417
-0.15                                             -0.2                                              0.1                                               144.48160535117057                                13.995553209530366                                19.97161396783691
-0.15                                             -0.2                                              0.1                                               145.31772575250832                                13.995553209530366                                19.97161396783691
