% Model:              biconAndDipole_box_moveBicon_correctRoomSize_1.15.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 28 2022, 18:10
% Table:              Table 5 - Global Evaluation 4
% biconX (m)             biconY (m)               biconZ (m)               freq (MHz)               10 * log10( abs(emw.Pport_1) /.001)
-0.698                   0.014                    -1.204                   178.5                    -29.285673731527226
-0.698                   0.014                    -1.204                   179                      -26.260702109871268
-0.698                   0.014                    -1.204                   179.5                    -18.156229682961836
-0.698                   0.014                    -1.204                   180                      -30.182628731862554
-0.698                   0.014                    -1.204                   180.5                    -26.563211427262253
-0.698                   0.014                    -1.204                   181                      -25.588389347939724
-0.698                   0.014                    -1.204                   181.5                    -25.57601093576183
-0.698                   0.014                    -1.204                   182                      -25.33387288023064
-0.698                   0.014                    -1.204                   182.5                    -26.048859487159852
-0.698                   0.014                    -1.204                   183                      -27.019199177621218
-0.698                   0.014                    -1.204                   183.5                    -28.19638337588865
-0.698                   0.014                    -1.204                   184                      -29.578932687803686
-0.698                   0.014                    -1.204                   184.5                    -31.24908112595765
-0.698                   0.014                    -1.204                   185                      -33.444955914836804
-0.698                   0.014                    -1.204                   185.5                    -36.85816330764942
-0.698                   0.014                    -1.204                   186                      -44.788820900887735
-0.698                   0.014                    -1.204                   186.5                    -44.152963474277776
-0.698                   0.014                    -1.204                   187                      -32.2868241771345
-0.698                   0.014                    -1.204                   187.5                    -26.3253333845675
-0.698                   0.014                    -1.204                   188                      -24.21873852266399
-0.698                   0.014                    -1.204                   188.5                    -25.008538753807876
-0.698                   0.014                    -1.204                   189                      -28.35003107553601
-0.698                   0.014                    -1.204                   189.5                    -27.30857315713348
-0.698                   0.014                    -1.204                   190                      -28.325260258906265
-0.698                   0.014                    -1.204                   190.5                    -29.477587307829655
-0.698                   0.014                    -1.204                   191                      -30.698539394866135
-0.698                   0.014                    -1.204                   191.5                    -32.31768711115228
-0.698                   0.014                    -1.204                   192                      -35.34501707206227
-0.698                   0.014                    -1.204                   192.5                    -46.0388868835488
-0.698                   0.014                    -1.204                   193                      -32.26238534797671
-0.698                   0.014                    -1.204                   193.5                    -19.36474247128244
-0.698                   0.014                    -1.204                   194                      -20.945088305705283
-0.698                   0.014                    -1.204                   194.5                    -23.60006330822892
-0.698                   0.014                    -1.204                   195                      -24.579669773799765
-0.698                   0.014                    -1.204                   195.5                    -26.17171666854751
-0.698                   0.014                    -1.204                   196                      -27.430806139681042
-0.698                   0.014                    -1.204                   196.5                    -33.87337551517903
-0.698                   0.014                    -1.204                   197                      -22.038930405220242
-0.698                   0.014                    -1.204                   197.5                    -23.650801487246774
-0.698                   0.014                    -1.204                   198                      -24.082231661249764
-0.698                   0.014                    -1.204                   198.5                    -20.386310081453594
-0.698                   0.014                    -1.204                   199                      -23.458063734455163
-0.698                   0.014                    -1.204                   199.5                    -19.223435516561096
-0.698                   0.014                    -1.204                   200                      -33.550656786304934
-0.698                   0.014                    -1.204                   200.33444816053512       -30.79378007142632
-0.698                   0.014                    -1.204                   200.6688963210702        -29.52086921234538
-0.698                   0.014                    -1.204                   201.00334448160535       -28.77046676193228
-0.698                   0.014                    -1.204                   201.33779264214047       -29.61619706697613
-0.698                   0.014                    -1.204                   201.67224080267556       -31.35027510727969
-0.698                   0.014                    -1.204                   202.0066889632107        -33.54542438871382
-0.698                   0.014                    -1.204                   202.34113712374582       -38.55480202533988
-0.698                   0.014                    -1.204                   202.67558528428094       -63.659444486093165
-0.698                   0.014                    -1.204                   203.01003344481603       -35.07276401508443
-0.698                   0.014                    -1.204                   203.34448160535118       -26.090677757891143
-0.698                   0.014                    -1.204                   203.6789297658863        -30.75679569346567
-0.698                   0.014                    -1.204                   204.01337792642138       -30.395709273604513
-0.698                   0.014                    -1.204                   204.34782608695653       -26.356064959998193
-0.698                   0.014                    -1.204                   204.68227424749165       -24.00838093237539
-0.698                   0.014                    -1.204                   205.01672240802674       -24.377082701892935
-0.698                   0.014                    -1.204                   205.35117056856188       -23.459230018212143
-0.698                   0.014                    -1.204                   205.685618729097         -24.51357579805549
-0.698                   0.014                    -1.204                   206.0200668896321        -22.674622277130652
-0.698                   0.014                    -1.204                   206.35451505016724       -22.784351941723298
-0.698                   0.014                    -1.204                   206.68896321070235       -22.94829146018804
-0.698                   0.014                    -1.204                   207.02341137123744       -23.476629386618598
-0.698                   0.014                    -1.204                   207.35785953177256       -23.174936068865087
-0.698                   0.014                    -1.204                   207.69230769230768       -23.850565407581556
-0.698                   0.014                    -1.204                   208.0267558528428        -24.78237737322926
-0.698                   0.014                    -1.204                   208.3612040133779        -27.90777041379336
-0.698                   0.014                    -1.204                   208.69565217391303       -21.63754134922961
-0.698                   0.014                    -1.204                   209.03010033444815       -23.906341488822846
-0.698                   0.014                    -1.204                   209.36454849498324       -20.363879886256314
-0.698                   0.014                    -1.204                   209.69899665551839       -25.943946744518385
-0.698                   0.014                    -1.204                   210.0334448160535        -29.73870139126744
-0.698                   0.014                    -1.204                   210.3678929765886        -20.693333097127628
-0.698                   0.014                    -1.204                   210.7023411371237        -22.54033667406725
-0.698                   0.014                    -1.204                   211.03678929765886       -24.086483708363737
-0.698                   0.014                    -1.204                   211.37123745819397       -25.21968993673433
-0.698                   0.014                    -1.204                   211.70568561872906       -26.48350428113657
-0.698                   0.014                    -1.204                   212.0401337792642        -28.819711422741538
-0.698                   0.014                    -1.204                   212.37458193979933       -37.24698483486427
-0.698                   0.014                    -1.204                   212.70903010033442       -30.70793639108097
-0.698                   0.014                    -1.204                   213.04347826086956       -20.77822273811771
-0.698                   0.014                    -1.204                   213.37792642140468       -20.696716802424344
-0.698                   0.014                    -1.204                   213.71237458193977       -21.74288754646405
-0.698                   0.014                    -1.204                   214.04682274247492       -22.415015182240218
-0.698                   0.014                    -1.204                   214.38127090301003       -23.065907582413775
-0.698                   0.014                    -1.204                   214.71571906354512       -26.50307840616637
-0.698                   0.014                    -1.204                   215.05016722408024       -22.267366847907315
-0.698                   0.014                    -1.204                   215.3846153846154        -22.92712596201429
-0.698                   0.014                    -1.204                   215.7190635451505        -23.303634798497605
-0.698                   0.014                    -1.204                   216.0535117056856        -23.685553359255543
-0.698                   0.014                    -1.204                   216.38795986622074       -24.2164786150965
-0.698                   0.014                    -1.204                   216.72240802675586       -25.304208425326202
-0.698                   0.014                    -1.204                   217.05685618729095       -28.135885077209643
-0.698                   0.014                    -1.204                   217.3913043478261        -20.98716457583674
