% Model:              dipoleMoveInBox_1.10.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 10 2023, 17:01
% Table:              Table 3 - port voltage
% boxX (m)               boxY (m)                 boxZ (m)                 boxTheta                 boxPhi                   freq (MHz)               abs(emw.Vport_1) (V)
-0.15                    -0.2                     0.1                      80                       50                       83.06613226452905        0.14470035049225916
-0.15                    -0.2                     0.1                      80                       50                       83.56713426853707        0.14449969628719245
-0.15                    -0.2                     0.1                      80                       50                       84.06813627254508        0.14471262888856495
-0.15                    -0.2                     0.1                      80                       50                       84.5691382765531         0.14541550176107682
-0.15                    -0.2                     0.1                      80                       50                       85.07014028056112        0.14584843356709593
-0.15                    -0.2                     0.1                      80                       50                       85.57114228456912        0.14899371388137922
-0.15                    -0.2                     0.1                      80                       50                       86.07214428857715        0.15000860016251863
-0.15                    -0.2                     0.1                      80                       50                       86.57314629258516        0.1597656643498917
-0.15                    -0.2                     0.1                      80                       50                       87.07414829659317        0.17464494396873448
-0.15                    -0.2                     0.1                      80                       50                       87.5751503006012         0.2585298466486105
