Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor
36742222,-1.556114393,0.8359769064,170.944147,-0.8255567687,0.1315804302,-0.1593838669
36824444,-1.569527789,0.8346869251,169.9861819,-0.8219711753,0.1451401043,-0.1765756618
36906666,-1.583740262,0.8333222675,169.0244056,-0.8180794459,0.158656931,-0.1939382926
36988888,-1.595753978,0.832170471,168.0735365,-0.8142069397,0.1719731146,-0.2112154862
37071111,-1.609598267,0.8308451454,167.0963502,-0.809863789,0.1855378639,-0.2290976167
37153333,-1.623398058,0.8295261802,166.1401998,-0.8053743523,0.1987104332,-0.2467305205
37235555,-1.637956253,0.8281369973,165.1647027,-0.8005317436,0.2120372933,-0.2648705626
37317777,-1.651568588,0.8268401757,164.196696,-0.7955875112,0.2251781254,-0.2830337608
37400000,-1.665377888,0.8255266647,163.1992426,-0.7902896175,0.2386139028,-0.3019322252
37482222,-1.682238504,0.8239257477,162.2260636,-0.7845984155,0.2515133478,-0.3205631605
37564444,-1.696738917,0.8225514156,161.2658086,-0.77897164,0.2641855701,-0.3391465831
37646666,-1.713735588,0.8209434093,160.2585193,-0.7726934862,0.2772956143,-0.358868839
37728888,-1.728884711,0.8195128438,159.2761832,-0.7664879182,0.2899958144,-0.3783436209
37811111,-1.748744764,0.8176411903,158.2937734,-0.7596642028,0.3024027366,-0.3980742221
37893333,-1.774840362,0.8151883827,157.3208109,-0.7521565472,0.3143129458,-0.4178823504
37975555,-1.789441815,0.8138191579,156.2684956,-0.7450037833,0.327522495,-0.4396252775
38057777,-1.812585801,0.8116535826,155.2796631,-0.7372734858,0.3394250215,-0.460378717
38140000,-1.836593552,0.8094132741,154.2805536,-0.729224526,0.3512569414,-0.4816855836
38222222,-1.861711836,0.8070759541,153.1970749,-0.7203659725,0.3639291984,-0.5052004291
38304444,-1.881559904,0.8052338158,152.2489157,-0.7126148765,0.3749420434,-0.5261496157
38386666,-1.908881843,0.8027048885,151.2153842,-0.7035194634,0.3865171441,-0.5494050474
38468888,-1.936403623,0.8001654935,150.2587747,-0.6947635324,0.3969489275,-0.5713439307
38551111,-1.959310858,0.798058003,149.2183422,-0.6856306038,0.4084204344,-0.5956858288
38633333,-1.999357371,0.7943870056,148.2073905,-0.6751977011,0.4185197475,-0.6198477081
38715555,-2.029124592,0.791669239,147.2080659,-0.6655110892,0.4287600427,-0.644256797
38797777,-2.068262947,0.7881100264,146.1974652,-0.6548877956,0.4384511249,-0.6695057197
38880000,-2.105522116,0.7847365741,145.162642,-0.6440936664,0.4482798676,-0.6959855235
38962222,-2.149432846,0.7807794202,144.1411905,-0.6327928154,0.4573726663,-0.7227842276
