% Model:              dipoleDriveBox_2.3.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 3 2022, 22:20
% Table:              Table 16 - abs Ex
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.Ey))              Point average: 20*log10(abs(emw.Ez))
177                                               -32.04915363047357                                -38.49796414670002                                -41.464565989935856
177.5                                             7.36553741945842                                  2.1978466909333694                                -1.4403251225226705
178                                               -31.670423511696125                               -38.142751470345615                               -40.926548047673776
178.5                                             -34.11496529134888                                -42.75389466970905                                -44.354359757464884
179                                               -33.24919468915795                                -42.31289955617592                                -42.38021961767456
179.5                                             -27.972877402586324                               -31.896990730843395                               -30.477441947579788
180                                               -26.46636598648594                                -36.9443170636222                                 -36.71006594639871
180.5                                             -15.036071836893411                               -28.47862611169461                                -28.360219889843588
181                                               -21.86913570442052                                -35.5527393858713                                 -35.38336694876615
181.5                                             -28.392059450851427                               -42.451150501053554                               -42.39841711369693
182                                               -30.14166008575861                                -44.91353062104234                                -42.35259379238547
182.5                                             -34.686978725635726                               -48.12678518921037                                -47.542151190535144
183                                               -36.41998534401657                                -49.80603889840067                                -49.43884279731798
183.5                                             -37.66767850252212                                -51.06797752248362                                -50.84370335994494
184                                               -38.50589880459297                                -52.03497799072976                                -51.951348243891
184.5                                             -39.04192874867662                                -52.811971070812646                               -52.817836224652964
185                                               -39.33410376753077                                -53.41542627919206                                -53.53498744673279
185.5                                             -39.24077018615331                                -53.91562522244039                                -54.17993203183223
186                                               -38.7189110587943                                 -54.32171564881493                                -54.72717515943452
186.5                                             -37.81984649816415                                -54.61054777393295                                -55.17082569442611
187                                               -36.49840775446038                                -54.80329908409558                                -55.5772352166284
187.5                                             -34.334900382880285                               -54.88392531175795                                -55.834530743901716
188                                               -30.557103110984986                               -54.831019126493814                               -56.03270615474415
188.5                                             -23.523863132501315                               -54.263802085905674                               -55.889043546665846
189                                               -11.318415392985957                               -53.641995094345916                               -56.2646465599535
189.5                                             -27.10368113212666                                -54.63132452689336                                -56.905271273618794
190                                               -31.97058964707816                                -54.359425342207146                               -56.95318961944181
190.5                                             -34.59707153600779                                -53.86760264345793                                -56.87355896882792
191                                               -36.39899450142296                                -53.270464270596264                               -56.757592310354795
191.5                                             -37.75685822327335                                -52.575129923002166                               -56.579972773837234
192                                               -38.08375770514156                                -51.67806792490303                                -56.32439335756127
192.5                                             -37.894863852037986                               -50.60831110815978                                -55.955636675445675
193                                               -37.20871472163301                                -49.25665026475668                                -55.377612006828016
193.5                                             -35.78026606609296                                -47.51473211317598                                -54.532877799592455
