% Model:              empty_box_12.26.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 31 2022, 21:27
% Table:              Table 8 - Point Evaluation 1
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.normE))
97.0941883767535                                  -3.3987492215147563                               -3.3986420310310264
97.59519038076151                                 -3.398749221514757                                -3.3986420310310264
98.09619238476954                                 -3.0718759911463223                               -3.071783127487802
98.59719438877755                                 -3.071875991146323                                -3.071783127487802
99.09819639278555                                 -3.0718759911463223                               -3.0717831274878025
99.59919839679358                                 -2.9245827938722613                               -2.9244705955184775
100.1002004008016                                 -2.9245827938722617                               -2.9244705955184775
100.6012024048096                                 -2.9245827938722613                               -2.9244705955184784
101.10220440881763                                -2.9239118598053526                               -2.9237109654316913
101.60320641282564                                -2.9239118598053526                               -2.9237109654316913
102.10420841683366                                -2.9239118598053526                               -2.9237109654316917
102.60521042084167                                -3.1079761556982035                               -3.1073510393392523
103.1062124248497                                 -3.1079761556982035                               -3.1073510393392527
