Frequency (MHz)		Gain (dB)
8.14817547798		71.3986783819
8.18479657173		71.3960672096
8.22141766548		71.3984945107
8.25803875923		71.3989649337
8.29465985298		71.3957679991
8.33128094673		71.4024111341
8.36790204048		71.3990498762
8.40452313423		71.4007853604
8.44114422798		71.4030112602
8.47776532173		71.4007910209
8.51438641548		71.4032017292
8.55100750923		71.4014306115
8.58762860298		71.3996814191
8.62424969673		71.4035773622
8.66087079048		71.3998003185
8.69749188423		71.4033465554
8.73411297798		71.4038541634
8.77073407173		71.4028354933
8.80735516548		71.3997644603
8.84397625923		71.403140252
8.88059735298		71.4035166446
8.91721844673		71.4057358683
8.95383954048		71.4043292851
8.99046063423		71.4056016763
9.02708172798		71.4065465861
9.06370282173		71.40778555
9.10032391548		71.4074362794
9.13694500923		71.4131266063
9.17356610298		71.4099238905
9.21018719673		71.4106585255
9.24680829048		71.4101313782
9.28342938423		71.4125572315
9.32005047798		71.4136706977
9.35667157173		71.415215305
9.39329266548		71.4160618598
9.42991375923		71.4170650261
9.46653485298		71.416262662
9.50315594673		71.4161551174
9.53977704048		71.414120293
9.57639813423		71.4144125991
9.61301922798		71.4141123926
9.64964032173		71.4125350271
9.68626141548		71.4185513015
9.72288250923		71.4163122971
9.75950360298		71.4182957314
9.79612469673		71.4197293603
9.83274579048		71.4177961988
9.86936688423		71.4195850793
9.90598797798		71.4187467273
9.94260907173		71.4186264663
9.97923016548		71.4183618804
10.0158512592		71.4218317861
10.052472353		71.4199671879
10.0890934467		71.4208710396
10.1257145405		71.4215471148
10.1623356342		71.4217048506
10.198956728		71.4212748194
10.2355778217		71.4226027086
10.2721989155		71.4231227129
10.3088200092		71.4229575197
10.345441103		71.4300431638
10.3820621967		71.4271057201
10.4186832905		71.4268018884
10.4553043842		71.4284119542
10.491925478		71.4284978226
10.5285465717		71.4294418883
10.5651676655		71.4297995148
10.6017887592		71.4300431638
10.638409853		71.4279177091
10.6750309467		71.4309636589
10.7116520405		71.4309719035
10.7482731342		71.4293796567
10.784894228		71.4286991755
10.8215153217		71.430564152
10.8581364155		71.4274414106
10.8947575092		71.4282683365
10.931378603		71.4340628984
10.9679996967		71.4344486032
11.0046207905		71.4345092644
11.0412418842		71.4379584406
11.077862978		71.4411928989
11.1144840717		71.4448911714
11.1511051655		71.444504525
11.1877262592		71.4469885487
11.224347353		71.4475985997
11.2609684467		71.4502539738
11.2975895405		71.4476583308
11.3342106342		71.4494998857
11.370831728		71.4515622167
11.4074528217		71.4515905632
11.4440739155		71.4499084752
11.4806950092		71.4527052544
11.517316103		71.4508564785
11.5539371967		71.4523595779
11.5905582905		71.4560319633
11.6271793842		71.4531489629
11.663800478		71.4587410218
11.7004215717		71.4567830555
11.7370426655		71.4632037618
11.7736637592		71.4647870048
11.810284853		71.4660172735
11.8469059467		71.4650011836
11.8835270405		71.4698419301
11.9201481342		71.4694537842
11.956769228		71.4751907228
11.9933903217		71.4748141844
12.0300114155		71.4698991276
12.0666325092		71.477723625
12.103253603		71.4773269136
12.1398746967		71.4815972568
12.1764957905		71.4836181187
12.2131168842		71.4819809855
12.249737978		71.4812783214
12.2863590717		71.4853090392
12.3229801655		71.4879262983
12.3596012592		71.4857194545
12.396222353		71.4912653235
12.4328434467		71.4914974181
12.4694645405		71.4922416631
12.5060856342		71.4953547278
12.542706728		71.4935735212
12.5793278217		71.495773425
12.6159489155		71.4991990229
12.6525700092		71.4984644557
12.689191103		71.5032942353
12.7258121967		71.5040500962
12.7624332905		71.503650623
12.7990543842		71.5061688274
12.835675478		71.5088906037
12.8722965717		71.512191855
12.9089176655		71.5144327147
12.9455387592		71.5122142914
12.982159853		71.5153762949
13.0187809467		71.5151542945
13.0554020405		71.5165011923
13.0920231342		71.517632778
13.128644228		71.5246042601
13.1652653217		71.5196677881
13.2018864155		71.5272404707
13.2385075092		71.5310797284
13.275128603		71.5320947562
13.3117496967		71.5335011955
13.3483707905		71.5359304585
13.3849918842		71.5390339418
13.421612978		71.5420760327
13.4582340717		71.545264925
13.4948551655		71.5491397109
13.5314762592		71.5496600991
13.568097353		71.626965277
13.6047184467		71.6556673473
13.6413395405		71.6663164752
13.6779606342		71.7638175226
13.714581728		71.8011548586
13.7512028217		71.8085496051
13.7878239155		71.765815417
13.8244450092		71.8565230762
13.861066103		71.8706778516
13.8976871967		71.870785631
13.9343082905		71.876232446
13.9709293842		71.8776920861
14.007550478		71.8789951287
14.0441715717		71.8830991316
14.0807926655		71.9853286335
14.1174137592		71.9966568117
14.154034853		71.9967837891
14.1906559467		72.0015236652
14.2272770405		72.0036516274
14.2638981342		72.0912814453
14.300519228		72.1082931052
14.3371403217		72.1118767732
14.3737614155		72.1137977537
14.4103825092		72.1720920013
14.447003603		72.2189235029
14.4836246967		72.2227003287
14.5202457905		72.2260987442
14.5568668842		72.2313411586
14.593487978		72.2329359029
14.6301090717		72.2384051792
14.6667301655		72.2443746189
14.7033512592		72.241846669
14.739972353		72.2521331299
14.7765934467		72.3510521655
14.8132145405		72.3526578643
14.8498356342		72.3604894201
14.886456728		72.3612834927
14.9230778217		72.3662823882
14.9596989155		72.3664194189
14.9963200092		72.3934370669
15.032941103		72.4407896936
