Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
56842222,-1.381240859,0.8529782495,63.39146762,-1016.608532,12.60342938,
56946666,-1.381116608,0.8529904514,60.16460045,-1019.8354,12.60455847,
57051111,-1.38376105,0.8527307958,56.96090082,-1023.039099,12.58057179,
57155555,-1.384061958,0.8527012548,53.6462826,-1026.353717,12.57784819,
57260000,-1.388470288,0.8522685951,50.45957602,-1029.540424,12.53808286,
57364444,-1.389388467,0.8521785071,47.22343777,-1032.776562,12.52983224,
57468888,-1.390835788,0.8520365214,43.97405222,-1036.025948,12.51684902,
57573333,-1.391260158,0.8519948941,40.71410151,-1039.285898,12.51304733,
57677777,-1.39289359,0.8518346866,37.46377495,-1042.536225,12.498436,
57782222,-1.393114343,0.8518130373,34.19599706,-1045.804003,12.49646395,
57886666,-1.393838044,0.851742068,30.95440342,-1049.045597,12.49000335,
57991111,-1.393137235,0.8518107924,27.68731411,-1052.312686,12.49625949,
58095555,-1.392776067,0.8518462123,24.37689736,-1055.623103,12.49948611,
58200000,-1.387312528,0.8523822033,21.0604778,-1058.939522,12.54850191,
58304444,-1.384294197,0.8526784561,17.89906742,-1062.100933,12.57574695,
58408888,-1.377947526,0.8533017253,14.66236862,-1065.337631,12.6334255,
58513333,-1.369033493,0.8541778893,11.40988871,-1068.590111,12.71534118,
58617777,-1.356860224,0.8553758583,8.133350517,-1071.866649,12.82894983,
58722222,-1.341104897,0.8569288319,4.857353365,-1075.142647,12.9790569,
58826666,-1.322144665,0.8588014455,1.661393085,-1078.338607,13.16445095,
58931111,-1.298472382,0.8611451915,-1.604842047,-1081.604842,13.40353432,
59035555,-1.264597241,0.8645102323,-4.898234032,-1084.898234,13.76126231,
59140000,-1.226631323,0.8682972665,-8.310758189,-1088.310758,14.18571367,
59244444,-1.182688263,0.8727012275,-11.69542812,-1091.695428,14.71107059,
59348888,-1.134864994,0.877519448,-15.18542464,-1095.185425,15.32912301,
59453333,-1.092151275,0.8818453643,-18.82902454,-1098.829025,15.92697022,
59557777,-1.047936758,0.8863457408,-22.59965667,-1102.599657,16.59722876,
59662222,-1.019459,0.8892565034,-26.48428322,-1106.484283,17.05975124,
59766666,-1.013887048,0.8898271397,-30.44199819,-1110.441998,17.15329106,
59871111,-1.029425678,0.8882367057,-34.43247999,-1114.43248,16.89496285,
59975555,-1.0620676,0.8849049409,-38.3841117,-1118.384112,16.37694055,
60080000,-1.112911864,0.8797401375,-42.30236308,-1122.302363,15.63065265,
60184444,-1.173611911,0.8736136365,-46.1245257,-1126.124526,14.82449201,
60288888,-1.242590655,0.8667033341,-49.87157689,-1129.871577,14.00412622,
60393333,-1.311554015,0.8598492153,-53.56504532,-1133.565045,13.27034464,
60497777,-1.381390872,0.852963518,-57.17616692,-1137.176167,12.60206646,
60602222,-1.451338415,0.8461221792,-60.77812215,-1140.778122,11.99732469,
60706666,-1.520240771,0.8394367172,-64.33968253,-1144.339683,11.45614791,
60811111,-1.587217335,0.8329887447,-67.89890885,-1147.898909,10.97524081,
60915555,-1.652408551,0.8267602206,-71.43294147,-1151.432941,10.5446926,
61020000,-1.720436683,0.8203103022,-74.98593303,-1154.985933,10.13029865,
61124444,-1.781016348,0.8146089599,-78.52368115,-1158.523681,9.788007873,
61228888,-1.850473918,0.8081208353,-82.06081284,-1162.060813,9.423226531,
61333333,-1.927943088,0.8009452785,-85.61881348,-1165.618813,9.047488372,
61437777,-1.988477963,0.795382629,-89.17245987,-1169.17246,8.774341202,
61542222,-2.055308332,0.7892863341,-92.72650622,-1172.726506,8.491553343,
