Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
32611111,-1.237004505,0.8672609157,134.055919,-225.944081,14.06715231,
32715555,-1.248242769,0.8661395332,130.3076975,-229.6923025,13.94093102,
32820000,-1.257802768,0.8651867536,126.5568843,-233.4431157,13.83533743,
32924444,-1.271382016,0.8638352045,122.7921609,-237.2078391,13.68808434,
33028888,-1.283547297,0.8626261813,119.0324288,-240.9675712,13.55881491,
33133333,-1.298195959,0.8611725973,115.2513027,-244.7486973,13.40637772,
33237777,-1.316015638,0.8594076557,111.4831012,-248.5168988,13.22552565,
33342222,-1.335216495,0.8575099643,107.6966385,-252.3033615,13.03606919,
33446666,-1.357895596,0.8552739022,103.8844108,-256.1155892,12.81920766,
33551111,-1.386572166,0.8524548612,100.0816807,-259.9183193,12.5551738,
33655555,-1.424975382,0.8486941935,96.28612788,-263.7138721,12.21826337,
33760000,-1.476515446,0.8436731497,92.53002509,-267.4699749,11.79370752,
33864444,-1.541262657,0.8374075404,88.91346875,-271.0865312,11.30069343,
33968888,-1.613543672,0.8304678351,85.50357746,-274.4964225,10.79717136,
34073333,-1.65783109,0.8262442411,82.40160976,-277.5983902,10.51040986,
34177777,-1.64203863,0.8277478635,79.37956567,-280.6204343,10.61088647,
34282222,-1.581295244,0.833556875,76.14098284,-283.8590172,11.01611661,
34386666,-1.515281401,0.8399161461,72.61576483,-287.3842352,11.49345234,
34491111,-1.463054706,0.8449816247,68.92149579,-291.0785042,11.9016963,
34595555,-1.426981962,0.8484981542,65.15427208,-294.8457279,12.20115929,
34700000,-1.396449728,0.8514860036,61.3724186,-298.6275814,12.46674421,
34804444,-1.383839863,0.8527230584,57.57753189,-302.4224681,12.57985831,
34908888,-1.372183423,0.8538681786,53.77997879,-306.2200212,12.68627299,
35013333,-1.362182043,0.8548519326,49.99466124,-310.0053388,12.77903293,
35117777,-1.35059567,0.8559930065,46.02845262,-313.9715474,12.8882144,
35222222,-1.345054835,0.8565392291,42.32505811,-317.6749419,12.94109336,
35326666,-1.340965703,0.8569425645,38.66451627,-321.3354837,12.98039881,
35431111,-1.338025261,0.8572327151,34.9507627,-325.0492373,13.00881162,
35535555,-1.335128236,0.8575186777,31.23454115,-328.7654589,13.03692756,
35640000,-1.332920514,0.8577366637,27.50304382,-332.4969562,13.05843594,
35744444,-1.32948235,0.8580762517,23.78889188,-336.2111081,13.09207426,
35848888,-1.32910668,0.8581133648,20.08660865,-339.9133914,13.0957603,
35953333,-1.326535015,0.8583674673,16.36047134,-343.6395287,13.12104947,
36057777,-1.32297773,0.8587190817,12.64324341,-347.3567566,13.15619338,
36162222,-1.320745401,0.8589398063,8.932866842,-351.0671332,13.17834435,
36266666,-1.317685322,0.8592424681,5.212808262,-354.7871917,13.20883112,
36371111,-1.314226097,0.8595847364,1.49327971,-358.5067203,13.24346576,
36475555,-1.31196613,0.8598084194,-2.221067787,-362.2210678,13.26619196,
36580000,-1.307529611,0.8602476986,-5.934350813,-365.9343508,13.31103445,
36684444,-1.306049367,0.860394314,-9.633707055,-369.6337071,13.32606405,
36788888,-1.303424295,0.8606543839,-13.35519341,-373.3551934,13.35280173,
36893333,-1.299697985,0.8610236901,-17.07277772,-377.0727777,13.39094189,
36997777,-1.297515037,0.8612401108,-20.79675828,-380.7967583,13.41338712,
37102222,-1.29403925,0.8615848178,-24.51339063,-384.5133906,13.44928199,
37206666,-1.29316742,0.861671302,-28.24557689,-388.2455769,13.4583158,
37311111,-1.289652078,0.8620201071,-31.9381602,-391.9381602,13.49486558,
37415555,-1.288389947,0.8621453748,-35.73189867,-395.7318987,13.50803698,
37520000,-1.283009989,0.8626795449,-39.46086189,-399.4608619,13.56447256,
37624444,-1.284257218,0.8625556795,-43.06655142,-403.0665514,13.55134699,
37728888,-1.281891767,0.8627906134,-46.77342819,-406.7734282,13.57626224,
37833333,-1.282149768,0.862764986,-50.4962529,-410.4962529,13.57354025,
37937777,-1.279990209,0.8629795206,-54.22829176,-414.2282918,13.59635821,
38042222,-1.278792157,0.8630985603,-57.95849757,-417.9584976,13.60905016,
38146666,-1.277098001,0.8632669214,-61.6873054,-421.6873054,13.62703846,
38251111,-1.277398713,0.8632370349,-65.41587417,-425.4158742,13.62384206,
38355555,-1.277997559,0.8631775214,-69.09882728,-429.0988273,13.61748114,
38460000,-1.279660341,0.863012295,-72.77968133,-432.7796813,13.5998504,
38564444,-1.277656021,0.8632114631,-76.46102023,-436.4610202,13.62110821,
38668888,-1.277338222,0.8632430468,-80.13612411,-440.1361241,13.62448492,
38773333,-1.277508577,0.8632261163,-83.80404009,-443.8040401,13.62267464,
38877777,-1.27744552,0.8632323831,-87.49559866,-447.4955987,13.62334466,
38982222,-1.281882251,0.8627915588,-91.2004975,-451.2004975,13.57636266,
39086666,-1.282175555,0.8627624246,-94.89256931,-454.8925693,13.57326825,
39191111,-1.285370257,0.8624451557,-98.59372279,-458.5937228,13.53965515,
39295555,-1.286925279,0.8622907673,-102.2745018,-462.2745018,13.52335447,
39400000,-1.288790051,0.8621056621,-105.9557433,-465.9557433,13.50385875,
39504444,-1.291089964,0.8618774177,-109.6334401,-469.6334401,13.47989146,
39608888,-1.296805865,0.8613104309,-113.2760886,-473.2760886,13.42069517,
39713333,-1.30158647,0.8608365068,-116.9128641,-476.9128641,13.37158521,
39817777,-1.304379623,0.860559729,-120.5576943,-480.5576943,13.34305876,
39922222,-1.3089218,0.8601098277,-124.2128052,-484.2128052,13.29692999,
40026666,-1.314716096,0.8595362459,-127.8647469,-487.8647469,13.23854867,
40131111,-1.320598782,0.8589543054,-131.5222878,-491.5222878,13.17980184,
40235555,-1.325039636,0.8585152583,-135.1765597,-495.1765597,13.13579991,
40340000,-1.331725935,0.8578546373,-138.8176708,-498.8176708,13.07010374,
40444444,-1.338742125,0.8571619689,-142.4566881,-502.4566881,13.0018732,
40548888,-1.346209535,0.8564253686,-146.1350825,-506.1350825,12.9300375,
40653333,-1.352670644,0.8557885426,-149.8445114,-509.8445114,12.8685236,
40757777,-1.35895069,0.8551700165,-153.5400407,-513.5400407,12.80929523,
40862222,-1.366040445,0.8544722789,-157.2056328,-517.2056328,12.7430861,
40966666,-1.373134467,0.8537746911,-160.8471589,-520.8471589,12.67752283,
41071111,-1.383404254,0.8527658247,-164.4506192,-524.4506192,12.58380278,
41175555,-1.394114295,0.8517149791,-168.0506937,-528.0506937,12.48753898,
41280000,-1.405521443,0.850597159,-171.6515324,-531.6515324,12.3866263,
41384444,-1.41594796,0.8495767173,-175.2617377,-535.2617377,12.29581408,
41488888,-1.424643803,0.8487265925,-178.8956409,-538.8956409,12.2210944,
41593333,-1.434570518,0.8477571749,177.4451947,-542.5548053,12.13690809,
41697777,-1.44274912,0.8469593056,173.7965342,-546.2034658,12.06841953,
41802222,-1.45287671,0.8459723419,170.1606431,-549.8393569,11.98468097,
41906666,-1.461933956,0.8450906606,166.4945884,-553.5054116,11.91077741,
42011111,-1.474198847,0.8438981943,162.835412,-557.164588,11.8121516,
42115555,-1.484098117,0.8429369552,159.1684824,-560.8315176,11.73374015,
42220000,-1.495688213,0.8418129247,155.5230531,-564.4769469,11.64325797,
42324444,-1.509016706,0.8405221538,151.9022679,-568.0977321,11.54092683,
