Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
149902222,-3.491405094,0.669005588,139.4134905,-5980.58651,5.042398081,
150006666,-3.743732078,0.6498504083,132.2648666,-5987.735133,4.711844444,
150111111,-4.060761656,0.62655892,124.6293552,-5995.370645,4.355597194,
150215555,-4.463054565,0.5982011888,116.4117367,-6003.588263,3.977615523,
150320000,-4.979092993,0.5636965157,107.4560563,-6012.543944,3.583965226,
150424444,-5.656917346,0.5213797178,97.63581837,-6022.364182,3.178677909,
150528888,-6.556773004,0.4700687169,86.68738503,-6033.312615,2.774074231,
150633333,-7.775186234,0.4085457418,74.29115567,-6045.708844,2.381495648,
150737777,-9.44702482,0.3370146337,59.86477646,-6060.135224,2.016657835,
150842222,-11.79695407,0.2571297317,42.00572908,-6077.994271,1.692260123,
150946666,-15.10754556,0.1756397143,16.75808074,-6103.241919,1.426123668,
151051111,-18.82096095,0.1145386217,-27.76484944,-6147.764849,1.258709469,
151155555,-18.21786778,0.1227740582,-89.22727122,-6209.227271,1.279914335,
151260000,-14.58934282,0.1864373233,-127.1316677,-6247.131668,1.458323197,
151364444,-11.73390802,0.2590028835,-149.3420901,-6269.34209,1.699065834,
151468888,-9.746172695,0.3256052249,-165.5003615,-6285.500362,1.965622027,
151573333,-8.343226834,0.3826825492,-178.7313558,-6298.731356,2.239824174,
151677777,-7.336001037,0.4297342298,169.7745754,-6310.225425,2.50713668,
151782222,-6.602020375,0.4676263567,159.4750774,-6320.524923,2.756759985,
151886666,-6.067438118,0.4973110328,150.0186007,-6329.981399,2.978603332,
151991111,-5.680035261,0.5199938856,141.2361638,-6338.763836,3.166613591,
152095555,-5.406807438,0.5366110705,132.9210245,-6347.078976,3.316028875,
152200000,-5.228391364,0.547747535,125.0059222,-6354.994078,3.422308676,
152304444,-5.132459461,0.5538307013,117.4254749,-6362.574525,3.482603366,
152408888,-5.109080616,0.5553233938,110.1270792,-6369.872921,3.49765059,
152513333,-5.140115227,0.5533427686,103.1587144,-6376.841286,3.477706526,
152617777,-5.203520738,0.5493181682,96.44978459,-6383.550215,3.437720491,
152722222,-5.280535621,0.5444690768,89.79307002,-6390.20693,3.3904813,
152826666,-5.378483755,0.5383637533,82.88016135,-6397.119839,3.332415434,
152931111,-5.536345403,0.5286676425,75.48014205,-6404.519858,3.243290256,
153035555,-5.807304591,0.5124302632,67.42151195,-6412.578488,3.101977315,
153140000,-6.263561439,0.486207807,58.54495526,-6421.455045,2.892624348,
153244444,-7.020326701,0.4456394863,48.54379829,-6431.456202,2.607760565,
153348888,-8.337821059,0.3829207907,36.93924083,-6443.060759,2.241075003,
153453333,-10.90356375,0.2849848756,22.96288797,-6457.037112,1.797143629,
153557777,-17.53876037,0.1327583913,6.625729975,-6473.37427,1.306162412,
153662222,-21.26322594,0.08646467298,154.7289843,-6325.271016,1.189296835,
153766666,-9.582200267,0.3318103943,132.8480991,-6347.151901,1.993162394,
153871111,-5.705985225,0.5184426702,108.4675181,-6371.532482,3.153191897,
153975555,-4.232645113,0.614281936,87.96560768,-6392.034392,4.185134394,
154080000,-3.810555593,0.6448700694,71.58648858,-6408.413511,4.63174159,
154184444,-3.88508541,0.6393603935,58.36328426,-6421.636716,4.545702591,
154288888,-4.275153019,0.6112830436,47.56119755,-6432.438802,4.145131868,
154393333,-4.915849731,0.5678158529,39.35805785,-6440.641942,3.627657015,
154497777,-5.596643236,0.5250103175,34.9405241,-6445.059476,3.210617774,
154602222,-5.699009884,0.518859181,33.28695155,-6446.713048,3.156787204,
154706666,-5.334067493,0.541123787,27.82746034,-6452.17254,3.358473905,
154811111,-5.55247069,0.5276870855,19.02169517,-6460.978305,3.234480868,
154915555,-6.493674576,0.4734959528,12.48798561,-6467.512014,2.798641265,
155020000,-7.621871899,0.4158209871,11.98859518,-6468.011405,2.423608099,
155124444,-8.03261539,0.396615087,17.0220453,-6462.977955,2.314633755,
155228888,-7.36631338,0.4282371411,21.19045483,-6458.809545,2.497953686,
155333333,-6.279031751,0.4853426001,20.52927847,-6459.470722,2.886080333,
155437777,-5.308071643,0.5427457331,16.22052067,-6463.779479,3.373934034,
155542222,-4.581474354,0.5901009072,10.11905847,-6469.880942,3.879249638,
155646666,-4.066241924,0.6261637241,3.323767117,-6476.676233,4.349935598,
155751111,-3.705377414,0.6527263262,-3.69886171,-6483.698862,4.759146607,
155855555,-3.454808021,0.6718303186,-10.74871375,-6490.748714,5.094408208,
155960000,-3.284363471,0.6851439489,-17.79617435,-6497.796174,5.35210914,
156064444,-3.169531623,0.694262038,-24.81240077,-6504.812401,5.54154946,
156168888,-3.1020416,0.699677519,-31.85914411,-6511.859144,5.659508116,
156273333,-3.076249372,0.7017582572,-38.98926118,-6518.989261,5.705969396,
156377777,-3.088467415,0.7007718199,-46.26718478,-6526.267185,5.68386246,
156482222,-3.143340837,0.6963586235,-53.79456778,-6533.794568,5.586717604,
156586666,-3.256753268,0.6873253099,-61.68893347,-6541.688933,5.396424346,
156691111,-3.450645938,0.6721523217,-70.07897614,-6550.078976,5.100393971,
156795555,-3.764742242,0.6482803947,-79.16900363,-6559.169004,4.68634779,
156900000,-4.281689999,0.6108231665,-89.12592032,-6569.12592,4.13905204,
157004444,-5.151037066,0.5526474197,-100.1264772,-6580.126477,3.470746539,
157108888,-6.658668218,0.4645865034,-111.8404098,-6591.84041,2.735430677,
157213333,-9.337226398,0.3413018797,-122.1743074,-6602.174307,2.036292253,
157317777,-14.04528819,0.1984886101,-121.3744493,-6601.374449,1.495285813,
157422222,-17.3633188,0.1354671706,-78.47981006,-6558.47981,1.313388147,
157526666,-12.74661755,0.2304990408,-52.9688098,-6532.96881,1.599087079,
157631111,-9.3956542,0.339013732,-55.51555239,-6535.515552,2.025781468,
157735555,-7.482898386,0.4225275979,-63.33111734,-6543.331117,2.463368973,
157840000,-6.326540384,0.4826952007,-71.876117,-6551.876117,2.866192625,
157944444,-5.589282603,0.5254554124,-80.1898494,-6560.189849,3.214567087,
158048888,-5.096956522,0.5560990766,-88.09027421,-6568.090274,3.505509888,
158153333,-4.763712655,0.5778490016,-95.59806982,-6575.59807,3.737641289,
158257777,-4.530458183,0.593577036,-102.7608648,-6582.760865,3.920981778,
158362222,-4.368690637,0.6047355059,-109.6112832,-6589.611283,4.059903002,
158466666,-4.242828956,0.6135621381,-116.0955647,-6596.095565,4.175476311,
158571111,-4.086301183,0.6247193254,-122.2005745,-6602.200574,4.329344502,
158675555,-3.818415231,0.644286807,-128.8454183,-6608.845418,4.622507232,
158780000,-3.659547448,0.6561794536,-136.7753952,-6616.775395,4.816988022,
158884444,-3.657851591,0.6563075804,-144.6941514,-6624.694151,4.819156566,
158988888,-3.703471998,0.6528695299,-152.4266417,-6632.426642,4.76152246,
159093333,-3.772027369,0.6477368897,-160.3031869,-6640.303187,4.677574351,
159197777,-3.868550473,0.6405786743,-168.5368424,-6648.536842,4.564500092,
159302222,-4.006032544,0.6305192827,-177.3562079,-6657.356208,4.413002374,
159406666,-4.209226017,0.6159404119,172.9435024,-6667.056498,4.207525244,
159511111,-4.514210168,0.5946884334,161.9506103,-6678.04939,3.934475512,
159615555,-4.992342851,0.5628372824,149.0019236,-6690.998076,3.574955548,
159720000,-5.771050528,0.5145735673,133.0552924,-6706.944708,3.120088783,
159824444,-7.104973973,0.4413176545,112.018649,-6727.981351,2.5798518,
159928888,-9.406423154,0.3385936759,81.41218672,-6758.587813,2.023859808,
