Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay,
35333333,-0.6326048891,0.9297576396,-175.1943682,-0.926489197,-0.07789118227,-0.0840713335,3.212254517e-08,
35422222,-0.6339535037,0.929613292,-176.2102278,-0.9275804907,-0.06144351858,-0.0662406327,3.19852641e-08,
35511111,-0.6365522258,0.9293352036,-177.232715,-0.9282514751,-0.04486780099,-0.04833582514,3.180492771e-08,
35600000,-0.6332404761,0.9296896074,-178.2354293,-0.9292487415,-0.02862765344,-0.03080730935,3.187118266e-08,
35688888,-0.6404414857,0.9289191706,-179.2705622,-0.9288438916,-0.01182583463,-0.01273177844,3.170643675e-08,
35777777,-0.6446880464,0.9284651298,179.7093002,-0.9284531795,0.004710703687,-0.005073711622,3.163489484e-08,
35866666,-0.6466131454,0.9282593721,178.7219411,-0.9280284434,0.02070434841,-0.02231003646,3.151937771e-08,
35955555,-0.6469138298,0.9282272386,177.7067295,-0.927483823,0.03714248792,-0.04004650754,3.111920438e-08,
36044444,-0.6490200958,0.9280021774,176.6876164,-0.9264518121,0.05361978236,-0.05787649359,3.112260626e-08,
36133333,-0.6603527813,0.9267921805,175.7473837,-0.9242405363,0.0687253735,-0.07435875273,3.116541072e-08,
36222222,-0.6557455075,0.9272839112,174.7219908,-0.9233522995,0.08529937241,-0.0923800942,3.115829648e-08,
36311111,-0.6584891266,0.9269910555,173.7030704,-0.921398365,0.101673349,-0.1103467869,3.153147359e-08,
36400000,-0.6615751352,0.9266617635,172.7244393,-0.9192007939,0.1173538425,-0.1276694312,3.120067932e-08,
36488888,-0.6637113157,0.9264338912,171.7011173,-0.916732835,0.1337186001,-0.1458643075,3.088462103e-08,
36577777,-0.6655810494,0.9262344875,170.7308524,-0.9141402669,0.1491908116,-0.1632034131,3.075979343e-08,
36666666,-0.6699834782,0.9257651461,169.7583739,-0.9110146467,0.1646007874,-0.1806785303,3.060244299e-08,
36755555,-0.6742544976,0.9253100414,168.774238,-0.9076067525,0.1801351033,-0.1984726345,3.077495904e-08,
36844444,-0.6775476639,0.924959286,167.7830275,-0.9040119658,0.1957346328,-0.2165177456,3.060079854e-08,
36933333,-0.6812553332,0.9245645411,166.794526,-0.9001163566,0.2112111152,-0.2346486803,3.038121789e-08,
37022222,-0.6820774355,0.924477037,165.852096,-0.896435794,0.2259660575,-0.2520716586,3.150007268e-08,
37111111,-0.6866776428,0.9239875465,164.8787028,-0.891995155,0.2410344989,-0.2702195159,3.099501593e-08,
37200000,-0.3814816559,0.9570308052,163.7009212,-0.91856755,0.2685919177,-0.2924030114,3.04366339e-08,
37288888,-0.6927239448,0.9233445769,162.9109046,-0.8825779533,0.2713325709,-0.3074318476,2.953593173e-08,
37377777,-0.6948744914,0.9231159935,161.9661276,-0.8777666868,0.2857775027,-0.3255734205,2.874659138e-08,
37466666,-0.6961431519,0.9229811731,161.0203978,-0.8728027669,0.300182571,-0.3439294448,2.976941444e-08,
37555555,-0.7013820318,0.9224246464,160.0467143,-0.8670525681,0.3147809913,-0.3630471817,2.996713541e-08,
37644444,-0.7047354309,0.9220685906,159.107499,-0.8614436477,0.3288241591,-0.3817129071,2.995841266e-08,
37733333,-0.7088481492,0.9216320999,158.1278293,-0.8552905415,0.3433421284,-0.4014333279,2.99632971e-08,
37822222,-0.7107617328,0.921429078,157.1864882,-0.8493472847,0.3572684364,-0.4206388162,2.989360453e-08,
37911111,-0.7121828492,0.9212783334,156.2130861,-0.8430174083,0.3715850061,-0.4407797543,2.974141151e-08,
38000000,-0.7209655925,0.9203472529,155.2818879,-0.836021391,0.3848471122,-0.460331657,2.979156535e-08,
38088888,-0.7177573349,0.9206872592,154.3214977,-0.8297598807,0.398953092,-0.4808054731,2.980524086e-08,
38177777,-0.7208009714,0.9203646962,153.3656261,-0.8227006088,0.4125953008,-0.5015133043,2.996347895e-08,
38266666,-0.7219390357,0.9202441138,152.4024262,-0.8155416802,0.4263109156,-0.5227334493,3.002242392e-08,
38355555,-0.7262174767,0.9197909373,151.447261,-0.8079236922,0.4396301581,-0.5441481199,3.009841129e-08,
38444444,-0.7280710047,0.9195946792,150.4770864,-0.8001933079,0.4531501341,-0.5663008297,3.01669517e-08,
38533333,-0.7266456007,0.9197456023,149.5125441,-0.7925818131,0.4666326633,-0.5887501524,3.018637916e-08,
38622222,-0.7290729727,0.9194886047,148.5430663,-0.7843538094,0.4798420531,-0.6117673521,2.926827155e-08,
