Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay
32488888,-0.6432410876,0.928619813211785,-142.8676225,-0.7403355833,-0.560569337,-0.7571827556,3.175529761E-08
32577777,-0.6408289382,0.928877735068641,-143.8816334,-0.7503483367,-0.5475319354,-0.7297036705,3.156266873E-08
32666666,-0.6392762376,0.929043797267825,-144.9112429,-0.7602017299,-0.5340559026,-0.7025186626,3.164892042E-08
32755555,-0.6393989733,0.929030669535385,-145.8985462,-0.7692802314,-0.5208703395,-0.677087904,3.182151117E-08
32844444,-0.6378501499,0.929196344301808,-146.9229997,-0.7786088018,-0.5071234366,-0.6513199381,3.190866853E-08
32933333,-0.6381967523,0.929159266320078,-147.9672032,-0.7876897734,-0.4928303593,-0.6256655551,3.213447226E-08
33022222,-0.6398561338,0.928981773571201,-148.9823077,-0.7961450183,-0.4787068472,-0.6012809679,3.213013523E-08
33111111,-0.6392490907,0.929046700908042,-150.0104142,-0.8046624639,-0.4643771007,-0.5771079446,3.220200435E-08
33200000,-0.6391909455,0.92905292016586,-151.0422223,-0.8128996901,-0.4498148756,-0.5533461029,3.233808736E-08
33288888,-0.640151032,0.92895023386557,-152.089573,-0.8208951693,-0.4348329081,-0.5297057705,3.247858359E-08
33377777,-0.6399063654,0.928976401167467,-153.1168288,-0.8285822738,-0.4200578168,-0.5069596949,3.253457338E-08
33466666,-0.6405026361,0.928912630797399,-154.1696324,-0.8361030803,-0.4047348696,-0.4840729321,3.255455966E-08
33555555,-0.6403986403,0.928923752696768,-155.2077308,-0.8433086278,-0.3895252196,-0.4619011436,3.256064592E-08
33644444,-0.6408161414,0.928879103572254,-156.2528581,-0.8502323664,-0.3740605729,-0.4399509919,3.253265261E-08
33733333,-0.6431812682,0.928626208604042,-157.2849258,-0.8565987355,-0.3585878437,-0.4186182267,3.261036717E-08
33822222,-0.6449858226,0.928433300045738,-158.3362658,-0.8628547318,-0.3427391201,-0.397215322,3.269343423E-08
33911111,-0.6445457325,0.928480342395138,-159.3836922,-0.8690198626,-0.3269254115,-0.3762001601,3.281392733E-08
34000000,-0.6482710228,0.928082211941196,-160.4344309,-0.8744936928,-0.3108011799,-0.355407,3.304129185E-08
34088888,-0.647686258,0.928144695820297,-161.4860782,-0.8801099855,-0.2947184925,-0.3348655252,3.331007134E-08
34177777,-0.6489137961,0.928013534532361,-162.5716861,-0.8854106928,-0.2779514802,-0.3139237898,3.356983197E-08
34266666,-0.6481453668,0.928095638308193,-163.6446227,-0.8905389257,-0.2613463903,-0.2934699233,3.247037216E-08
34355555,-0.6387003173,0.929105399814439,-164.7263384,-0.8962881121,-0.2447538846,-0.2730750094,3.269256741E-08
34444444,-0.5818320196,0.935208400075574,-165.6040181,-0.9058434166,-0.2325133461,-0.2566816095,3.335148867E-08
34533333,-0.6615131059,0.926668381133439,-166.8228058,-0.9022689409,-0.2112464127,-0.234127989,3.396065219E-08
34622222,-0.6525437312,0.927625787825241,-167.9326339,-0.9071275496,-0.193930944,-0.2137857505,3.463963988E-08
34711111,-0.6544323238,0.927424113981262,-168.9957417,-0.9103715663,-0.1770285245,-0.1944574403,3.359045177E-08
34800000,-0.6564891054,0.927204529908086,-170.0598995,-0.9132860346,-0.1600526764,-0.1752492322,3.343372255E-08
34888888,-0.6593948024,0.926894403376298,-171.133652,-0.9158185368,-0.1428623208,-0.1559941353,0.0000000336188492
34977777,-0.6597430254,0.926857244317938,-172.2130811,-0.9183105078,-0.1255793077,-0.1367503765,3.347587989E-08
35066666,-0.6616059452,0.926658476473393,-173.298113,-0.9203264397,-0.1081442387,-0.1175063912,3.336699642E-08
35155555,-0.6648311261,0.92631446031015,-174.3338165,-0.9217885027,-0.09145728896,-0.09921721599,3.343638552E-08
35244444,-0.6679494241,0.925981966321554,-175.4120104,-0.9230148126,-0.07406927606,-0.08024711527,3.352993145E-08
35333333,-0.6694587572,0.925821073901047,-176.5059607,-0.924100106,-0.05642388705,-0.06105819779,0.0000000337033397
