% Model:              emptyRoomNoRes_8.19.21.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 20 2021, 06:48
% Table:              Table 6 - Surface Average 3 (emw.normE)
% freq (MHz)             Electric field norm (V/m)
118.73747494989979       3.1588981169109465
119.27855711422843       3.1588981169109465
119.8196392785571        3.2487937565708673
120.36072144288576       3.2487937565708673
120.90180360721443       3.344273167840303
121.44288577154308       3.344273167840303
121.98396793587175       3.4545684087275474
122.52505010020039       3.5676221661573915
123.06613226452906       3.5676221661573915
123.6072144288577        3.5676221661573915
124.14829659318637       3.7799901703824577
124.68937875751502       3.7799901703824577
125.23046092184369       3.8682689307889158
125.77154308617234       4.105782073187988
126.312625250501         4.105782073187988
126.85370741482966       4.385285465030159
127.39478957915831       4.385285465030159
127.93587174348697       4.727051344151774
128.47695390781564       4.727051344151774
129.0180360721443        5.170655830063892
129.55911823647295       5.170655830063892
130.1002004008016        5.7444199575236405
130.64128256513027       5.74441995752364
131.18236472945893       6.51745127748262
