Frequency,S11_Magnitude,S11_VSWR,
40862222,-1.34657822,12.92651147,
40966666,-1.35676319,12.82986363,
41071111,-1.365635634,12.74684796,
41175555,-1.377457493,12.63790107,
41280000,-1.389712379,12.52692423,
41384444,-1.401384174,12.42303614,
41488888,-1.412751613,12.32351062,
41593333,-1.423498718,12.23088132,
41697777,-1.433733943,12.14395781,
41802222,-1.446730039,12.03536368,
41906666,-1.458170609,11.9413731,
42011111,-1.471314019,11.83520116,
42115555,-1.484013031,11.73440965,
42220000,-1.497509712,11.62916545,
42324444,-1.510903696,11.52658549,
42428888,-1.524885816,11.42142846,
42533333,-1.53973784,11.31182613,
42637777,-1.555495047,11.19783803,
42742222,-1.578566156,11.03505701,
42846666,-1.595233922,10.92039306,
42951111,-1.611783489,10.80889513,
43055555,-1.631564974,10.67859916,
43160000,-1.652107034,10.5466055,
43264444,-1.673614429,10.41189155,
43368888,-1.695828089,10.27635197,
43473333,-1.717853018,10.1454356,
43577777,-1.741213008,10.01021444,
43682222,-1.766636635,9.867125008,
43786666,-1.79734392,9.699713753,
43891111,-1.829224591,9.53187318,
43995555,-1.862087974,9.364896429,
44100000,-1.897270711,9.192570614,
44204444,-1.934342212,9.017802552,
44308888,-1.973286744,8.841305679,
44413333,-2.01644738,8.653699503,
44517777,-2.060323685,8.471074618,
44622222,-2.111269091,8.268593458,
44726666,-2.163554758,8.07074833,
44831111,-2.219510159,7.869394938,
44935555,-2.281399404,7.658253557,
45040000,-2.345648217,7.450915202,
45144444,-2.41745206,7.232313883,
45248888,-2.491066595,7.021364727,
45353333,-2.571524297,6.804711472,
45457777,-2.656946852,6.589151413,
45562222,-2.747525723,6.375331802,
45666666,-2.840649098,6.169836025,
45771111,-2.938098199,5.968862771,
45875555,-3.042818315,5.767375454,
45980000,-3.149507281,5.576014713,
46084444,-3.254362262,5.400297779,
46188888,-3.35435027,5.243085076,
46293333,-3.449657191,5.101818104,
46397777,-3.538465206,4.977120541,
46502222,-3.617722862,4.871072373,
46606666,-3.683670645,4.786360357,
46711111,-3.731758002,4.726505881,
46815555,-3.763370419,4.688003728,
46920000,-3.775474848,4.673434558,
47024444,-3.764544983,4.686585827,
47128888,-3.732572028,4.725506136,
47233333,-3.68325561,4.786883859,
47337777,-3.614288996,4.875569199,
47442222,-3.531509384,4.98665797,
47546666,-3.434671017,5.123505013,
47651111,-3.334559114,5.273445625,
47755555,-3.223960865,5.450054869,
47860000,-3.111670255,5.642362887,
47964444,-3.001332486,5.84549819,
48068888,-2.890295663,6.065738912,
48173333,-2.783036539,6.295333766,
48277777,-2.678696279,6.536480077,
48382222,-2.581478173,6.778853449,
48486666,-2.488898951,7.027396814,
48591111,-2.398210368,7.289601806,
48695555,-2.318529013,7.537022218,
48800000,-2.241073773,7.794497359,
48904444,-2.168575366,8.052255274,
49008888,-2.10271304,8.30191043,
49113333,-2.041670272,8.547751526,
49217777,-1.98211463,8.802265968,
49322222,-1.928971173,9.042705709,
49426666,-1.880755929,9.272654356,
49531111,-1.834131753,9.50655874,
49635555,-1.791662737,9.730252515,
49740000,-1.750423508,9.957894062,
49844444,-1.714165726,10.16711768,
49948888,-1.681643372,10.36248738,
50053333,-1.651746967,10.54889076,
50157777,-1.62336875,10.73219936,
50262222,-1.597258927,10.90662576,
50366666,-1.573695167,11.06902631,
50471111,-1.551550227,11.22615714,
50575555,-1.534413752,11.35087129,
50680000,-1.514148187,11.50201078,
50784444,-1.497396714,11.6300387,
50888888,-1.481252309,11.75617401,
50993333,-1.468087624,11.86108738,
51097777,-1.456918725,11.95158591,
51202222,-1.44485815,12.05088431,
51306666,-1.435991993,12.12494835,
51411111,-1.425974878,12.20973765,
51515555,-1.417249514,12.28457189,
51620000,-1.409688089,12.3501744,
51724444,-1.403167572,12.40731504,
51828888,-1.397885806,12.45399189,
51933333,-1.391653458,12.50952605,
52037777,-1.389174239,12.53175629,
52142222,-1.385255593,12.56705597,
52246666,-1.381805005,12.59830544,
52351111,-1.379614675,12.61822295,
52455555,-1.377480405,12.63769173,
52560000,-1.375283276,12.65779718,
52664444,-1.371946372,12.68845589,
52768888,-1.367173033,12.73257293,
52873333,-1.368126791,12.72373327,
52977777,-1.369775934,12.70847772,
53082222,-1.369565129,12.71042573,
53186666,-1.366895067,12.73515151,
53291111,-1.364569826,12.75676311,
53395555,-1.365956865,12.74386261,
53500000,-1.367700915,12.72767886,
53604444,-1.368871189,12.71684258,
53708888,-1.369334341,12.7125591,
53813333,-1.369668684,12.70946872,
53917777,-1.369366792,12.71225909,
54022222,-1.370404414,12.70267359,
54126666,-1.368913784,12.71644852,
54231111,-1.366494336,12.73887079,
54335555,-1.368017555,12.72474507,
54440000,-1.368654084,12.71885148,
54544444,-1.36879648,12.7175338,
54648888,-1.369784387,12.70839961,
54753333,-1.372393176,12.68434209,
54857777,-1.37395869,12.66994931,
54962222,-1.37378528,12.67154197,
55066666,-1.374140918,12.6682761,
55171111,-1.373877607,12.67069396,
55275555,-1.376205677,12.64934866,
55380000,-1.374032033,12.66927583,
55484444,-1.367678603,12.72788565,
55588888,-1.367107951,12.73317657,
55693333,-1.370769249,12.69930671,
55797777,-1.364999413,12.75276482,
55902222,-1.360440925,12.79532097,
56006666,-1.356237897,12.8348127,
56111111,-1.353532165,12.86036583,
56215555,-1.349616225,12.89753008,
56320000,-1.347102664,12.92149912,
56424444,-1.344223994,12.94906015,
56528888,-1.339647626,12.99311962,
56633333,-1.330875107,13.07842682,
56737777,-1.321222104,13.17360782,
56842222,-1.3113656,13.27224408,
56946666,-1.30539858,13.33268261,
57051111,-1.297044868,13.41823134,
57155555,-1.276303209,13.63549393,
57260000,-1.265875652,13.74741377,
57364444,-1.24411629,13.98701171,
57468888,-1.225537798,14.19832937,
57573333,-1.199874189,14.50101676,
57677777,-1.170825569,14.85966449,
57782222,-1.141811792,15.23612606,
57886666,-1.1107044,15.66163295,
57991111,-1.075933266,16.16641761,
58095555,-1.046268405,16.62363024,
58200000,-1.020368798,17.04457503,
58304444,-1.006083047,17.28604547,
58408888,-1.006690055,17.2756457,
58513333,-1.024682167,16.97299151,
58617777,-1.071708661,16.2299822,
58722222,-1.148613438,15.14616369,
58826666,-1.258786099,13.82456732,
58931111,-1.400740567,12.42871954,
59035555,-1.561916622,11.15204554,
59140000,-1.741807124,10.0068228,
59244444,-1.933357949,9.022355752,
59348888,-2.114626561,8.255593602,
59453333,-2.291318258,7.625480806,
59557777,-2.457986387,7.114585452,
59662222,-2.612529939,6.699463037,
59766666,-2.761121129,6.344459206,
59871111,-2.899204489,6.0474399,
59975555,-3.038294681,5.775789318,
60080000,-3.174143691,5.533673607,
60184444,-3.300659117,5.326306155,
60288888,-3.429281591,5.131351145,
60393333,-3.559813842,4.948084454,
60497777,-3.694584213,4.772637458,
60602222,-3.832708184,4.605812931,
60706666,-3.972396806,4.449081642,
60811111,-4.116706044,4.298523101,
60915555,-4.269232476,4.15065476,
61020000,-4.428761149,4.007105841,
61124444,-4.594160741,3.869019126,
61228888,-4.769357833,3.733431649,
61333333,-4.949722583,3.604113267,
61437777,-5.150675419,3.470976514,
61542222,-5.353148907,3.347224426,
61646666,-5.568621037,3.225710653,
61751111,-5.55233636,3.234554035,
61855555,-6.040779917,2.990739043,
61960000,-6.303295973,2.875883941,
62064444,-6.572705871,2.76794892,
62168888,-6.869264871,2.659368921,
62273333,-7.18124478,2.555298993,
62377777,-7.512647486,2.454726192,
62482222,-7.872643523,2.355633776,
62586666,-8.258392793,2.259656808,
62691111,-8.676301489,2.165988464,
62795555,-9.12322687,2.076048457,
62900000,-9.591988816,1.991489236,
63004444,-10.1232445,1.906015723,
63108888,-10.693859,1.824655441,
63213333,-11.3146753,1.74653783,
63317777,-11.99759106,1.671148202,
63422222,-12.75844626,1.598027993,
63526666,-13.59428062,1.528659932,
63631111,-14.53424331,1.461913459,
63735555,-15.59377187,1.398305067,
63840000,-16.81686267,1.337168407,
63944444,-18.25620366,1.278509973,
64048888,-19.96070775,1.223342277,
64153333,-22.10703014,1.170280264,
64257777,-24.93259789,1.120153789,
64362222,-29.13308407,1.072413961,
64466666,-37.45370911,1.027177298,
64571111,-41.11181041,1.017753236,
64675555,-30.55069315,1.061175904,
64780000,-25.94525124,1.106228983,
64884444,-23.00166442,1.152345173,
64988888,-20.83922788,1.199712136,
65093333,-19.14371392,1.248102033,
65197777,-17.74908219,1.297747554,
65302222,-16.58510332,1.34787179,
65406666,-15.58570348,1.398749028,
65511111,-14.71394943,1.450325205,
65615555,-13.9449366,1.502487245,
65720000,-13.2654799,1.554712639,
65824444,-12.66325122,1.606617156,
65928888,-12.11615641,1.659050644,
66033333,-11.62319598,1.711222219,
66137777,-11.17476442,1.763286774,
66242222,-10.76800374,1.814790323,
66346666,-10.39947291,1.865384927,
66451111,-10.0621163,1.915342935,
66555555,-9.754360586,1.964273535,
66660000,-9.471363771,2.012373013,
66764444,-9.213103085,2.059105788,
66868888,-8.982172621,2.103384803,
66973333,-8.766836227,2.146964734,
67077777,-8.572058722,2.188431502,
67182222,-8.396082829,2.227685241,
67286666,-8.235559315,2.265069876,
67391111,-8.087422399,2.3009857,
67495555,-7.95110679,2.335303666,
67600000,-7.839765549,2.364281817,
67704444,-7.733909396,2.392658731,
67808888,-7.637622194,2.419198842,
67913333,-7.553690331,2.442920926,
68017777,-7.477553688,2.464929462,
68122222,-7.412435434,2.484133783,
68226666,-7.348198091,2.503431989,
68331111,-7.285799893,2.522522881,
68435555,-7.222613788,2.542210632,
68540000,-7.152604702,2.56445388,
68644444,-7.071585358,2.590776103,
68748888,-6.968441704,2.625220841,
68853333,-6.842522292,2.668755112,
68957777,-6.680692149,2.727240473,
69062222,-6.473615721,2.806556069,
69166666,-6.216147407,2.912892343,
69271111,-5.906474407,3.053612605,
69375555,-5.545982891,3.238018843,
69480000,-5.144417279,3.474961395,
69584444,-4.72084276,3.769946333,
69688888,-4.288251051,4.132968837,
69793333,-3.866633576,4.566689861,
69897777,-3.475505939,5.064856899,
70002222,-3.126703929,5.615806626,
70106666,-2.829382388,6.193972846,
70211111,-2.581579466,6.778591344,
70315555,-2.382593249,7.336782979,
70420000,-2.228552854,7.837809229,
70524444,-2.111104401,8.269232193,
70628888,-2.026470212,8.611281689,
70733333,-1.966115711,8.873277432,
70837777,-1.923474564,9.068335659,
70942222,-1.895417854,9.201485739,
71046666,-1.878723002,9.282610164,
71151111,-1.869978536,9.325682019,
71255555,-1.868079222,9.335090816,
71360000,-1.871174736,9.319766139,
71464444,-1.876999202,9.291069051,
71568888,-1.883955947,9.257026676,
71673333,-1.896799544,9.194836002,
71777777,-1.908645524,9.13822086,
71882222,-1.922404813,9.073340875,
71986666,-1.938397139,8.999093434,
72091111,-1.953133509,8.931757828,
72195555,-1.969509313,8.858118053,
72300000,-1.985596981,8.786961797,
72404444,-2.003034238,8.71113269,
72508888,-2.022413568,8.628399014,
72613333,-2.041962495,8.54653946,
72717777,-2.062121187,8.463759405,
72822222,-2.083701025,8.376926834,
72926666,-2.108597675,8.278966685,
73031111,-2.134397313,8.179876408,
73135555,-2.161082355,8.079886992,
73240000,-2.188429439,7.97995974,
73344444,-2.220322718,7.86654613,
73448888,-2.255260551,7.746007377,
73553333,-2.292091516,7.622937882,
73657777,-2.332574832,7.492173455,
73762222,-2.380151933,7.344214798,
73866666,-2.431686042,7.190522453,
73971111,-2.490022958,7.024267625,
74075555,-2.554068668,6.850547635,
74180000,-2.630274807,6.654942459,
74284444,-2.718936251,6.441268778,
74388888,-2.821202016,6.211619638,
74493333,-2.901628277,6.042480985,
74597777,-2.978132485,5.89014502,
74702222,-3.109905852,5.645496634,
74806666,-3.265864826,5.381716209,
74911111,-3.448237919,5.103863785,
75015555,-3.65888828,4.817830678,
75120000,-3.909549257,4.518187701,
75224444,-4.206821027,4.209839032,
75328888,-4.567247348,3.8907917,
75433333,-5.002661879,3.567972745,
75537777,-5.537319749,3.242756456,
75642222,-6.206945606,2.916863231,
75746666,-7.049895461,2.597931232,
75851111,-8.127021068,2.291247476,
75955555,-9.507091228,2.006126858,
76060000,-11.23899944,1.755538288,
76164444,-13.17435167,1.562207632,
76268888,-14.42084021,1.469408472,
76373333,-13.59827514,1.528352653,
76477777,-11.38682592,1.738083257,
76582222,-9.156326373,2.069766613,
76686666,-7.329725407,2.509047905,
76791111,-5.910011399,3.051918733,
76895555,-4.825505994,3.692111222,
77000000,-4.009430698,4.409391612,
77104444,-3.366757956,5.224235392,
77208888,-2.881497936,6.083921793,
77313333,-2.509171888,6.971391457,
77417777,-2.220232856,7.86686108,
77522222,-1.994630041,8.74751364,
77626666,-1.818802155,9.586093945,
77731111,-1.680248831,10.37103436,
77835555,-1.569776998,11.09650426,
77940000,-1.481341624,11.75546862,
78044444,-1.412366286,12.326858,
78148888,-1.356436751,12.83293873,
78253333,-1.313009412,13.25569099,
78357777,-1.279735975,13.59904953,
78462222,-1.251531676,13.90442153,
78566666,-1.231374268,14.13125541,
78671111,-1.215633759,14.31362494,
78775555,-1.205327592,14.43561681,
78880000,-1.19860332,14.51634329,
78984444,-1.193857709,14.57386372,
79088888,-1.192139118,14.59480749,
79193333,-1.193683069,14.57598922,
79297777,-1.195610101,14.55257014,
79402222,-1.20116732,14.48545508,
79506666,-1.207581759,14.40875652,
79611111,-1.214996054,14.32111316,
79715555,-1.224776434,14.20712635,
79820000,-1.234895322,14.09109783,
79924444,-1.246660255,13.95856694,
80028888,-1.259408335,13.81776087,
80133333,-1.273668294,13.66360136,
80237777,-1.288889015,13.5028257,
80342222,-1.306140837,13.32513433,
80446666,-1.323639752,13.14963865,
80551111,-1.343413752,12.95683893,
80655555,-1.362995974,12.77143296,
80760000,-1.383907011,12.57925051,
80864444,-1.406793552,12.37547431,
80968888,-1.430810235,12.16866049,
81073333,-1.455581631,11.96251333,
81177777,-1.47951664,11.76989898,
81282222,-1.507318764,11.55386215,
81386666,-1.532806221,11.36271386,
81491111,-1.560998246,11.15857137,
81595555,-1.586542033,10.97988646,
81700000,-1.615168321,10.78637305,
81804444,-1.639586663,10.62666076,
81908888,-1.662884859,10.47866048,
82013333,-1.687304022,10.3279394,
82117777,-1.71000812,10.19167783,
82222222,-1.730695007,10.07064546,
82326666,-1.749381309,9.963786554,
82431111,-1.768525662,9.856657928,
82535555,-1.78613695,9.760142993,
82640000,-1.801354579,9.678271174,
82744444,-1.817387153,9.593503351,
82848888,-1.831593241,9.519637091,
82953333,-1.847077835,9.440422058,
83057777,-1.8618243,9.366212596,
83162222,-1.874667036,9.302538121,
83266666,-1.890403569,9.225700249,
83371111,-1.904890063,9.156092692,
83475555,-1.923123227,9.069978901,
83580000,-1.94194154,8.9828041,
83684444,-1.962683163,8.888664336,
83788888,-1.98676476,8.781841728,
83893333,-2.013480046,8.666339002,
83997777,-2.046742532,8.526762452,
84102222,-2.088271622,8.358767142,
84206666,-2.138553262,8.164139094,
84311111,-2.207990088,7.910010792,
84415555,-2.299570823,7.598430329,
84520000,-2.419498649,7.226274566,
84624444,-2.551295747,6.857887109,
84728888,-2.637152898,6.637848174,
84833333,-2.63061368,6.65409814,
84937777,-2.565961531,6.819250366,
85042222,-2.510405142,6.968013899,
85146666,-2.484242442,7.040390712,
85251111,-2.48443498,7.039852467,
85355555,-2.508902439,6.972129853,
85460000,-2.552731742,6.854084257,
85564444,-2.612148661,6.700426322,
85668888,-2.689470894,6.510704846,
85773333,-2.784815399,6.291380499,
85877777,-2.899590393,6.046649805,
85982222,-3.03944117,5.773654479,
86086666,-3.207956437,5.476632154,
86191111,-3.411114106,5.157985092,
86295555,-3.657683126,4.819372099,
86400000,-3.960187169,4.462332541,
86504444,-4.32846895,4.096091183,
86608888,-4.783380526,3.723018922,
86713333,-5.341101792,3.354317176,
86817777,-6.017935103,3.001227756,
86922222,-6.817515263,2.677602203,
87026666,-7.705341237,2.40045945,
87131111,-8.569415858,2.189008171,
87235555,-9.179022058,2.06548783,
87340000,-9.280084566,2.046711896,
87444444,-8.80220386,2.139648142,
87548888,-7.931991271,2.34021698,
87653333,-6.873988783,2.657718888,
87757777,-5.654007904,3.180203467,
87862222,-6.253979251,2.896694595,
87966666,-5.529904395,3.246823879,
88071111,-4.924036514,3.621936212,
88175555,-4.469217929,3.972364414,
88280000,-4.116384153,4.298846973,
88384444,-3.835429327,4.602648936,
88488888,-3.610184531,4.880955595,
88593333,-3.426903008,5.134821929,
88697777,-3.275471133,5.366299088,
88802222,-3.150412333,5.574447409,
88906666,-3.046894889,5.759814732,
89011111,-2.959293162,5.926920129,
89115555,-2.88404031,6.078655788,
89220000,-2.820949509,6.212165991,
89324444,-2.764654866,6.336484891,
89428888,-2.717043344,6.445683843,
89533333,-2.673419179,6.549180452,
89637777,-2.636056191,6.640567823,
89742222,-2.600885108,6.729011708,
89846666,-2.569273857,6.810585603,
89951111,-2.54086905,6.885629283,
90055555,-2.512578681,6.962069271,
90160000,-2.4884182,7.028736074,
90264444,-2.465060709,7.094438125,
90368888,-2.441668909,7.16150502,
90473333,-2.421791979,7.219519346,
90577777,-2.400740273,7.2820168,
90682222,-2.382108424,7.338257657,
90786666,-2.361872634,7.400351596,
90891111,-2.345565152,7.451175886,
90995555,-2.328104633,7.50638789,
91100000,-2.313006216,7.554806774,
91204444,-2.297008353,7.606808735,
91308888,-2.282163033,7.655720282,
91413333,-2.268377898,7.701715356,
91517777,-2.256531358,7.741693716,
91622222,-2.244343927,7.783265402,
91726666,-2.234465945,7.817294076,
91831111,-2.227120644,7.842794682,
91935555,-2.218541191,7.872794855,
92040000,-2.213460044,7.89067259,
92144444,-2.208768994,7.907251209,
92248888,-2.208622477,7.907770155,
92353333,-2.20462913,7.921940805,
92457777,-2.204280739,7.923179542,
92562222,-2.203823015,7.924807621,
92666666,-2.206530051,7.915188833,
92771111,-2.208006721,7.909951844,
92875555,-2.205330989,7.919446474,
92980000,-2.211339422,7.898158313,
93084444,-2.213213164,7.891543325,
93188888,-2.215948234,7.881907732,
93293333,-2.220148733,7.867155938,
93397777,-2.226910531,7.843526616,
93502222,-2.237045032,7.808380225,
93606666,-2.251011691,7.76046538,
93711111,-2.270188553,7.69564193,
93815555,-2.294197623,7.616020514,
93920000,-2.327440379,7.508504784,
94024444,-2.370669997,7.373225646,
94128888,-2.426433887,7.205885498,
94233333,-2.499527054,6.997921887,
94337777,-2.592663413,6.750035256,
94442222,-2.708827062,6.464919811,
94546666,-2.855356976,6.138616315,
94651111,-3.044270651,5.764679496,
94755555,-3.289031489,5.344691226,
94860000,-3.603452792,4.889816778,
94964444,-4.014522701,4.40399267,
95068888,-4.555648951,3.900255798,
95173333,-5.282680269,3.389186128,
95277777,-6.277039094,2.886921349,
95382222,-7.670738423,2.40999084,
95486666,-9.691745641,1.974649681,
95591111,-12.79269083,1.594974856,
95695555,-18.0140265,1.287516604,
95800000,-23.19181468,1.148800858,
95904444,-16.54045265,1.349978397,
96008888,-11.94012788,1.677111241,
96113333,-9.139696518,2.072916535,
96217777,-7.288674989,2.521635635,
96322222,-6.01297193,3.003517449,
96426666,-5.118681808,3.491453905,
96531111,-4.428059187,4.007714361,
96635555,-3.864999715,4.568558045,
96740000,-3.437089154,5.119992696,
96844444,-3.110728974,5.644034245,
96948888,-2.856368025,6.136482125,
97053333,-2.656314664,6.590695405,
97157777,-2.496553775,7.006142228,
97262222,-2.36785168,7.381893617,
97366666,-2.261999302,7.723188791,
97471111,-2.175917934,8.025363905,
97575555,-2.10561796,8.290568263,
97680000,-2.050975053,8.509328048,
97784444,-2.005623533,8.699985592,
97888888,-1.970263656,8.854755492,
97993333,-1.943630756,8.975061805,
98097777,-1.92561756,9.05832568,
98202222,-1.912522551,9.119844442,
98306666,-1.90738576,9.144208064,
98411111,-1.905238731,9.154430438,
98515555,-1.908389714,9.139435993,
98620000,-1.912773222,9.11865888,
98724444,-1.919266226,9.088058212,
98828888,-1.924138922,9.065230035,
98933333,-1.92940143,9.040705663,
99037777,-1.929571486,9.039915409,
99142222,-1.925637211,9.058233997,
99246666,-1.916041223,9.103231194,
99351111,-1.900018228,9.179382913,
99455555,-1.880589706,9.273467582,
99560000,-1.857727463,9.386710699,
99664444,-1.832666295,9.514104306,
99768888,-1.804490196,9.66157354,
99873333,-1.77711259,9.809359284,
99977777,-1.749534642,9.962919183,
100082222,-1.723604634,10.11180066,
100186666,-1.699627021,10.25352816,
100291111,-1.677561778,10.38754321,
100395555,-1.657209423,10.51432878,
100500000,-1.640852507,10.61851128,
100604444,-1.625776308,10.71639861,
100708888,-1.617193368,10.77294395,
100813333,-1.609275419,10.82564467,
100917777,-1.607633579,10.83663769,
101022222,-1.61108638,10.81354535,
101126666,-1.624073905,10.72756657,
101231111,-1.64670442,10.58100006,
101335555,-1.683429665,10.35156013,
101440000,-1.741179732,10.01040447,
101544444,-1.83164779,9.519355674,
101648888,-1.968713308,8.861669132,
101753333,-2.183448026,7.997974581,
101857777,-2.518403026,6.946190636,
101962222,-3.030793653,5.78979699,
102066666,-3.742806889,4.712973879,
102171111,-4.490224682,3.954577597,
102275555,-4.799135721,3.711394115,
102380000,-4.447816571,3.990661941,
102484444,-3.81190055,4.630158644,
102588888,-3.235356326,5.431293417,
102693333,-2.804368119,6.248260678,
102797777,-2.494877416,7.010785621,
102902222,-2.273877766,7.683297414,
103006666,-2.110292562,8.272382304,
103111111,-1.990150226,8.767032425,
103215555,-1.896980241,9.193967072,
103320000,-1.825754212,9.549858176,
103424444,-1.769354308,9.852073485,
103528888,-1.72366014,10.11147717,
103633333,-1.685365259,10.33974581,
103737777,-1.654857421,10.52918228,
103842222,-1.629317399,10.69324362,
103946666,-1.608811907,10.82874586,
104051111,-1.59049929,10.95271935,
104155555,-1.57713789,11.04499565,
104260000,-1.565619959,11.12580816,
104364444,-1.556566204,11.19017325,
104468888,-1.550616418,11.23288193,
104573333,-1.547386685,11.25620346,
104677777,-1.546024402,11.26606964,
104782222,-1.547123339,11.25810935,
104886666,-1.55154146,11.22622024,
104991111,-1.558859547,11.17379848,
105095555,-1.571342438,11.08550941,
105200000,-1.587530137,10.97309027,
105304444,-1.610308983,10.81873593,
105408888,-1.640182681,10.62282204,
105513333,-1.68185499,10.36119164,
105617777,-1.736292829,10.03839182,
105722222,-1.809843928,9.633198325,
105826666,-1.90860552,9.138410866,
105931111,-2.036327641,8.569972998,
106035555,-2.194823763,7.956955716,
106140000,-2.347941645,7.443725037,
106244444,-2.434786013,7.181486054,
106348888,-2.379093855,7.34744055,
106453333,-2.194073576,7.959647585,
106557777,-1.973161174,8.841863519,
106662222,-1.787130771,9.754753464,
106766666,-1.647431958,10.57635517,
106871111,-1.552103462,11.22217687,
106975555,-1.486323457,11.71625752,
107080000,-1.438835763,12.10109307,
107184444,-1.406983865,12.37380765,
107288888,-1.384815141,12.57103614,
107393333,-1.368107796,12.7239092,
107497777,-1.356503796,12.83230703,
107602222,-1.345404422,12.93774418,
107706666,-1.339190352,12.99753866,
107811111,-1.334890608,13.03923918,
107915555,-1.332473823,13.06279646,
108020000,-1.330927282,13.07791612,
108124444,-1.329147034,13.09536426,
108228888,-1.328979321,13.09701042,
108333333,-1.329236999,13.09448138,
108437777,-1.33075304,13.07962179,
108542222,-1.332284846,13.06464208,
108646666,-1.334049314,13.04742987,
108751111,-1.337587701,13.01305037,
108855555,-1.341405135,12.97616339,
108960000,-1.345367391,12.93809887,
109064444,-1.350604732,12.88812827,
109168888,-1.354714813,12.84918423,
109273333,-1.362098387,12.77981457,
109377777,-1.368208189,12.72297942,
109482222,-1.377270884,12.63960625,
109586666,-1.386042416,12.55995211,
109691111,-1.395890792,12.47171465,
109795555,-1.408055533,12.36443106,
109900000,-1.42043163,12.25717331,
110004444,-1.434285443,12.13930946,
110108888,-1.450236546,12.00639783,
110213333,-1.467092085,11.86909789,
110317777,-1.48806395,11.70262046,
110422222,-1.50956043,11.53679078,
110526666,-1.533324129,11.35889575,
110631111,-1.558453299,11.17669563,
110735555,-1.587822158,10.97108337,
110840000,-1.619661428,10.75662254,
