Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
426053333,-5.196544324,0.5497595518,-87.1876862,-24927.18769,3.442070916,
426157777,-5.158558849,0.5521690468,-91.06922056,-24931.06922,3.465970889,
426262222,-5.108765364,0.5553435495,-95.07492875,-24935.07493,3.497854462,
426366666,-5.071949547,0.5577024119,-99.46928132,-24939.46928,3.521842429,
426471111,-5.092845048,0.5563623689,-104.3152457,-24944.31525,3.508183841,
426575555,-5.226924359,0.5478400547,-109.4731418,-24949.47314,3.423213557,
426680000,-5.530763282,0.5290075081,-114.516919,-24954.51692,3.246352191,
426784444,-6.000536963,0.5011562511,-118.3839775,-24958.38398,3.009271449,
426888888,-6.412976357,0.4779155728,-120.1222268,-24960.12223,2.830798039,
426993333,-6.446234177,0.4760891577,-121.2487932,-24961.24879,2.817443425,
427097777,-6.314036645,0.4833905631,-124.70872,-24964.70872,2.871396566,
427202222,-6.439846739,0.4764393934,-129.987353,-24969.98735,2.819997102,
427306666,-6.92174692,0.4507260447,-134.9485946,-24974.94859,2.641170277,
427411111,-7.677403743,0.4131709825,-138.1870981,-24978.1871,2.408147757,
427515555,-8.560267301,0.3732386715,-137.7969405,-24977.79694,2.191007341,
427620000,-8.859581281,0.3605960258,-133.0388492,-24973.03885,2.127912995,
427724444,-8.274769546,0.3857105543,-130.6533086,-24970.65331,2.255794176,
427828888,-7.749292668,0.4097654775,-133.0058067,-24973.00581,2.388483601,
427933333,-7.673000621,0.4133804836,-136.0835061,-24976.08351,2.409364919,
428037777,-7.693675819,0.4123976759,-136.7530818,-24976.75308,2.403662507,
428142222,-7.28725591,0.4321526739,-136.696036,-24976.69604,2.522073466,
428246666,-6.697702528,0.4625033402,-139.0033171,-24979.00332,2.720953356,
428351111,-6.214469638,0.4889635865,-142.6899765,-24982.68998,2.913615444,
428455555,-5.763135688,0.5150426757,-146.9960688,-24986.99607,3.124074222,
428560000,-5.358099024,0.5396287116,-152.4805452,-24992.48055,3.344319575,
428664444,-5.112985814,0.5550737752,-158.9281554,-24998.92816,3.495127256,
428768888,-5.057764938,0.5586139193,-165.7110096,-25005.71101,3.531180496,
428873333,-5.148771151,0.5527916094,-172.3312542,-25012.33125,3.472188004,
428977777,-5.337272643,0.5409241457,-178.6279652,-25018.62797,3.356578507,
429082222,-5.546910887,0.528024964,175.2098362,-25024.79016,3.237512257,
429186666,-5.769300996,0.5146772244,168.347096,-25031.6529,3.120968767,
429291111,-6.199950996,0.4897815826,159.9344467,-25040.06555,2.919889859,
429395555,-7.125178943,0.4402922619,150.6358414,-25049.36416,2.57329346,
429500000,-8.81056544,0.3626366783,142.7288603,-25057.27114,2.137927665,
429604444,-11.21686887,0.2748884906,141.596924,-25058.40308,1.758196462,
429708888,-12.99873555,0.2239047065,151.0514386,-25048.94856,1.577003129,
429813333,-13.258,0.2173201519,160.0723044,-25039.9277,1.555323233,
429917777,-13.58997631,0.2091708612,163.9718245,-25036.02818,1.528991285,
430022222,-14.52765357,0.1877661587,172.9572016,-25027.0428,1.462345076,
430126666,-13.82064396,0.2036891059,-168.3096632,-25008.30966,1.511581864,
430231111,-10.91297271,0.284676334,-160.743197,-25000.7432,1.795937133,
430335555,-8.590853561,0.3719266702,-166.5535017,-25006.5535,2.184341549,
430440000,-7.463895914,0.4234529905,-175.848798,-25015.8488,2.468927888,
