Frequency,S21_Magnitude,
2031968031.968032,33.68556875435493,
2037962037.962038,33.72350692769469,
2043956043.956044,33.76144510103446,
2049950049.9500499,33.77652718087776,
2055944055.944056,33.752384706934265,
2061938061.938062,33.72824223299078,
2067932067.9320679,33.704099759047295,
2073926073.9260738,33.679957285103804,
2079920079.92008,33.65581481116032,
2085914085.9140859,33.64307282302036,
2091908091.9080918,33.65341959756757,
2097902097.902098,33.66376637211478,
2103896103.8961039,33.67411314666198,
2109890109.8901098,33.68445992120919,
2115884115.884116,33.6948066957564,
2121878121.8781219,33.70616378449229,
2127872127.8721278,33.719959483888566,
2133866133.866134,33.73375518328484,
2139860139.8601398,33.747550882681125,
2145854145.8541458,33.7613465820774,
2151848151.8481517,33.775142281473684,
2157842157.842158,33.789818560666966,
2163836163.836164,33.807063184912316,
2169830169.8301697,33.82430780915766,
2175824175.824176,33.84155243340301,
2181818181.818182,33.85879705764835,
2187812187.8121877,33.8760416818937,
2193806193.806194,33.88577785208573,
2199800199.8002,33.86853322784039,
2205794205.7942057,33.85128860359504,
2211788211.788212,33.83404397934969,
2217782217.782218,33.816799355104344,
2223776223.7762237,33.79955473085899,
2229770229.77023,33.78106788458633,
2235764235.764236,33.75692541064284,
2241758241.7582417,33.73278293669936,
2247752247.752248,33.70864046275587,
2253746253.7462535,33.68449798881238,
2259740259.7402596,33.6603555148689,
2265734265.734266,33.6396526772793,
2271728271.7282715,33.6396526772793,
2277722277.7222776,33.6396526772793,
2283716283.716284,33.6396526772793,
2289710289.7102895,33.6396526772793,
2295704295.7042956,33.6396526772793,
2301698301.698302,33.64543895296428,
2307692307.6923075,33.70062175054939,
2313686313.6863136,33.755804548134506,
2319680319.68032,33.81098734571962,
2325674325.6743255,33.86617014330473,
2331668331.6683316,33.92135294088984,
2337662337.662338,33.97212948954085,
2343656343.6563435,33.96178271499364,
2349650349.6503496,33.95143594044643,
2355644355.644356,33.94108916589922,
2361638361.6383615,33.93074239135201,
2367632367.6323676,33.920395616804804,
2373626373.626374,33.910253189151526,
2379620379.6203794,33.90680426430245,
