,can freq,num bins,idx,idx absolute,delta
0,59.98979902170172,1,279335,1677436,
1,60.68180901353922,1,298685,1696786,19350.0
2,62.49902367582547,1,349498,1747599,50813.0
3,66.67225519869378,1,466190,1864291,116692.0
4,69.10977545831446,1,534348,1932449,68158.0
5,72.00001688003701,1,615165,2013266,80817.0
6,77.20082065590103,2,760590,2158691,145425.0
7,77.44508051348501,1,767420,2165521,6830.0
8,93.56612382565726,1,1218197,2616298,450777.0
9,94.35995048141007,2,1240394,2638495,22197.0
10,94.4210333272012,1,1242102,2640203,1708.0
11,95.03168297116117,1,1259177,2657278,17075.0
12,95.09273005416203,2,1260884,2658985,1707.0
13,95.15381289995317,1,1262592,2660693,1708.0
14,95.18435432284873,1,1263446,2661547,854.0
15,95.21485998295402,2,1264299,2662400,853.0
16,95.24540140584959,1,1265153,2663254,854.0
17,95.30648425164073,1,1266861,2664962,1708.0
18,95.33698991174602,2,1267714,2665815,853.0
19,95.52020268632914,1,1272837,2670938,5123.0
20,95.64233261512113,1,1276252,2674353,3415.0
21,95.76442678112286,3,1279666,2677767,3414.0
22,95.825509626914,1,1281374,2679475,1708.0
23,95.85605104980957,1,1282228,2680329,854.0
24,95.88655670991486,2,1283081,2681182,853.0
25,96.0000320434601,1,1286254,2684355,3173.0
26,96.00872240149712,1,1286497,2684598,243.0
27,96.10031090739355,1,1289058,2687159,2561.0
28,96.13085233028912,1,1289912,2688013,854.0
29,96.25298225908111,1,1293327,2691428,3415.0
30,96.31402934208197,2,1295034,2693135,1707.0
31,96.37507642508282,2,1296741,2694842,1707.0
32,96.43615927087396,1,1298449,2696550,1708.0
33,96.49720635387482,2,1300156,2698257,1707.0
34,96.55828919966595,1,1301864,2699965,1708.0
35,96.68041912845794,1,1305279,2703380,3415.0
36,96.71096055135351,1,1306133,2704234,854.0
37,97.04680891483392,1,1315524,2713625,9391.0
38,97.10789176062505,1,1317232,2715333,1708.0
39,97.840671333377,1,1337722,2735823,20490.0
40,98.39023813154584,1,1353089,2751190,15367.0
41,100.00002861023222,1,1398102,2796203,45013.0
42,101.8709232207225,1,1450416,2848517,52314.0
43,101.93200606651364,1,1452124,2850225,1708.0
44,102.1151830783065,1,1457246,2855347,5122.0
45,102.4997403621426,11,1467999,2866100,10753.0
46,105.29045393852749,1,1546033,2944134,78034.0
47,105.6903892221822,1,1557216,2955317,11183.0
48,106.75608460961195,1,1587015,2985116,29799.0
49,107.30565140778077,1,1602382,3000483,15367.0
50,111.51911606970941,1,1720199,3118300,117817.0
51,111.6412459985014,1,1723614,3121715,3415.0
52,112.25189564246136,1,1740689,3138790,17075.0
53,120.00004720688317,1,1957343,3355444,216654.0
54,124.99804019909288,2,2097097,3495198,139754.0
55,143.24214155599037,1,2607239,4005340,510142.0
56,143.97542180780619,9,2627743,4025844,20504.0
57,144.00696458882948,1,2628625,4026726,882.0
58,145.449528260186,6,2668962,4067063,40337.0
59,149.99905586233672,12,2796176,4194277,127214.0
60,151.48585810526447,1,2837750,4235851,41574.0
