% Model:              vivaldi_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 5 2022, 14:07
% Dimension:          3
% Nodes:              17442
% Expressions:        1
% Description:        Far-field gain, dBi
% Length unit:        mm
% X                       Y                        Z                        emw.gaindBEfar (1) @ freq=4
-38.5881517589871         -91.96384823774265       -29.489068502257226      -6.873541129029931
-40.814391283544055       -97.26945486684319       -31.190360915848995      -6.873541129029932
-27.69673831319399        -96.42771858323852       -27.396820538927788      -4.604906868313713
-19.271115895998456       -96.17159086351535       -34.578160779654         -4.190020388196549
-29.294627062032102       -101.99085619380996      -28.977406339250553      -4.604906868313716
-20.382911043844267       -101.71995187487215      -36.57305467078763       -4.19002038819653
-20.010560110827896       -91.55511822727232       -45.09143832748219       -3.8713131079548173
-21.165015501837185       -96.83714427884574       -47.69286746176          -3.8713131079548186
-10.436536399687572       -95.52520370818029       -39.77454166283574       -4.534325065907941
-11.038644268900313       -101.036273152883        -42.069226758768565      -4.53432506590794
-20.712196670571984       -85.84538941238446       -54.932449660611546      -3.638734385536303
-21.907131093874177       -90.79800803232973       -58.101629448723735      -3.6387343855362944
-21.115540956158448       -79.00530018013221       -64.25182078023937       -3.5390802214676005
-22.33374524209063        -83.56329826744756       -67.95865659448393       -3.539080221467596
-20.993314836987814       -71.27838140593484       -72.76450423321245       -3.5711099028490243
-22.204467616044806       -75.3905957178157        -76.96245640051315       -3.5711099028490274
-31.12625374033284        -56.11097504742361       -81.84567677843359       -6.072311715380189
-32.92199914842896        -59.34814668477496       -86.56754274642013       -6.072311715380187
-21.141381095328413       -62.51906573094677       -80.37666592682014       -3.8198166055485605
-22.361076158520433       -66.12593490773216       -85.01378126875208       -3.819816605548565
-30.95801075812096        -46.41061204319703       -87.77047715306053       -6.761276909746305
-32.744049840320244       -49.08814735338147       -92.83415852727556       -6.761276909746299
-56.944013234587004       -31.252854381169772      -81.21969249984008       -4.691836456369581
-60.229244767351645       -33.0559036723911        -85.90544399021547       -4.691836456369582
-48.0253758157193         -30.712131519680963      -86.98464379002046       -7.644899606743759
-50.79607057431849        -32.48398526120101       -92.00298862406008       -7.644899606743754
-30.687627421708186       -36.20328141645278       -92.53967764103975       -7.674451847379814
-32.45806746526827        -38.291932267401975      -97.87850519725357       -7.674451847379814
-39.33357481691977        -30.582566820669555      -91.28842477982114       -10.172373716484445
-41.60281951789591        -32.346945675708184      -96.55506467096465       -10.172373716484431
-62.789120191212355       -20.740653912404095      -80.27049059834734       -2.6534334371324064
-66.41156943301307        -21.937230099658176      -84.90148044055967       -2.653433437132401
-71.32953012959952        -20.88858235862          -72.74452047087604       -1.2570908517831632
