"Freq., MHz","CST AF(f) + 5.6, dB (FreeSpace)",,,
135.36,11.2721127,,,
135.67,11.2884438,,,
135.98,11.3047297,,,
136.29,11.3209702,,,
136.6,11.3371653,,,
136.91,11.3533146,,,
137.22,11.369418,,,
137.53,11.3854754,,,
137.84,11.4014866,,,
138.15,11.4174513,,,
138.46,11.4333696,,,
138.77,11.449241,,,
139.08,11.4650657,,,
139.39,11.4808433,,,
139.7,11.4965738,,,
140.01,11.5122569,,,
140.32,11.5278927,,,
140.63,11.5434808,,,
140.94,11.5590213,,,
141.25,11.574514,,,
141.56,11.5899588,,,
141.87,11.6053555,,,
142.18,11.620704,,,
142.49,11.6360043,,,
142.8,11.6512562,,,
143.11,11.6664596,,,
143.42,11.6816144,,,
143.73,11.6967206,,,
144.04,11.711778,,,
144.35,11.7267866,,,
144.66,11.7417462,,,
144.97,11.7566568,,,
145.28,11.7715183,,,
145.59,11.7863306,,,
145.9,11.8010936,,,
146.21,11.8158074,,,
146.52,11.8304717,,,
146.83,11.8450865,,,
147.14,11.8596519,,,
147.45,11.8741676,,,
147.76,11.8886337,,,
148.07,11.9030501,,,
148.38,11.9174168,,,
148.69,11.9317336,,,
149,11.9460006,,,
149.31,11.9602176,,,
149.62,11.9743847,,,
149.93,11.9885019,,,
150.24,12.002569,,,
150.55,12.016586,,,
150.86,12.0305529,,,
151.17,12.0444697,,,
151.48,12.0583363,,,
151.79,12.0721527,,,
152.1,12.0859189,,,
152.41,12.0996349,,,
152.72,12.1133005,,,
153.03,12.1269159,,,
153.34,12.140481,,,
153.65,12.1539957,,,
153.96,12.1674601,,,
154.27,12.1808741,,,
154.58,12.1942377,,,
154.89,12.2075509,,,
155.2,12.2208137,,,
155.51,12.2340262,,,
155.82,12.2471882,,,
156.13,12.2602998,,,
156.44,12.273361,,,
156.75,12.2863717,,,
157.06,12.2993321,,,
157.37,12.312242,,,
157.68,12.3251015,,,
157.99,12.3379106,,,
158.3,12.3506693,,,
158.61,12.3633776,,,
158.92,12.3760355,,,
159.23,12.3886431,,,
159.54,12.4012003,,,
159.85,12.4137071,,,
160.16,12.4261636,,,
160.47,12.4385698,,,
160.78,12.4509257,,,
161.09,12.4632313,,,
161.4,12.4754867,,,
161.71,12.4876918,,,
162.02,12.4998467,,,
162.33,12.5119514,,,
162.64,12.524006,,,
162.95,12.5360104,,,
163.26,12.5479647,,,
163.57,12.559869,,,
163.88,12.5717232,,,
164.19,12.5835274,,,
164.5,12.5952816,,,
164.81,12.6069858,,,
165.12,12.6186402,,,
165.43,12.6302447,,,
165.74,12.6417994,,,
166.05,12.6533042,,,
166.36,12.6647594,,,
166.67,12.6761648,,,
166.98,12.6875206,,,
167.29,12.6988267,,,
167.6,12.7100833,,,
167.91,12.7212904,,,
168.22,12.7324479,,,
168.53,12.7435561,,,
168.84,12.7546149,,,
169.15,12.7656244,,,
169.46,12.7765846,,,
169.77,12.7874956,,,
170.08,12.7983575,,,
170.39,12.8091702,,,
170.7,12.819934,,,
171.01,12.8306487,,,
171.32,12.8413146,,,
171.63,12.8519316,,,
171.94,12.8624998,,,
172.25,12.8730193,,,
172.56,12.8834901,,,
172.87,12.8939124,,,
173.18,12.9042862,,,
173.49,12.9146115,,,
173.8,12.9248884,,,
174.11,12.9351171,,,
174.42,12.9452976,,,
174.73,12.9554299,,,
175.04,12.9655141,,,
175.35,12.9755504,,,
175.66,12.9855387,,,
175.97,12.9954793,,,
176.28,13.0053721,,,
176.59,13.0152173,,,
176.9,13.0250149,,,
177.21,13.0347651,,,
177.52,13.0444678,,,
177.83,13.0541233,,,
178.14,13.0637316,,,
178.45,13.0732928,,,
178.76,13.082807,,,
179.07,13.0922743,,,
179.38,13.1016948,,,
179.69,13.1110686,,,
180,13.1203958,,,
180.31,13.1296765,,,
180.62,13.1389108,,,
180.93,13.1480988,,,
181.24,13.1572407,,,
181.55,13.1663366,,,
181.86,13.1753865,,,
182.17,13.1843906,,,
182.48,13.193349,,,
182.79,13.2022618,,,
183.1,13.2111291,,,
183.41,13.2199511,,,
183.72,13.228728,,,
184.03,13.2374597,,,
184.34,13.2461465,,,
184.65,13.2547884,,,
184.96,13.2633857,,,
185.27,13.2719385,,,
185.58,13.2804468,,,
185.89,13.2889109,,,
186.2,13.2973309,,,
186.51,13.3057069,,,
186.82,13.3140391,,,
187.13,13.3223275,,,
187.44,13.3305725,,,
187.75,13.3387741,,,
188.06,13.3469325,,,
188.37,13.3550479,,,
188.68,13.3631203,,,
188.99,13.3711501,,,
189.3,13.3791373,,,
189.61,13.3870821,,,
189.92,13.3949847,,,
190.23,13.4028453,,,
190.54,13.410664,,,
190.85,13.4184411,,,
191.16,13.4261767,,,
191.47,13.433871,,,
191.78,13.4415241,,,
192.09,13.4491364,,,
192.4,13.456708,,,
192.5,13.4591417,,,
192.71,13.464239,,,
193.02,13.4717297,,,
193.33,13.4791803,,,
193.64,13.486591,,,
193.95,13.493962,,,
194.26,13.5012936,,,
194.57,13.5085859,,,
194.88,13.5158392,,,
195.19,13.5230537,,,
195.5,13.5302295,,,
195.81,13.5373671,,,
196.12,13.5444666,,,
196.43,13.5515281,,,
196.74,13.5585521,,,
197.05,13.5655387,,,
197.36,13.5724882,,,
197.67,13.5794008,,,
197.98,13.5862768,,,
198.29,13.5931165,,,
198.6,13.5999201,,,
198.91,13.6066878,,,
199.22,13.6134201,,,
199.53,13.6201171,,,
199.84,13.6267791,,,
200.15,13.6334065,,,
200.46,13.6399995,,,
200.77,13.6465584,,,
