Frequency,S11_Magnitude,S11_Phase
32968000,0.9243170246,-148.1712735
33190000,0.9250568254,-150.6800125
33412000,0.9258476048,-153.1969597
33634000,0.9267492423,-155.7226915
33856000,0.9272991384,-158.3417207
34078000,0.9279990675,-161.0179408
34300000,0.9279780948,-163.5367379
34522000,0.9280559149,-166.1064887
34744000,0.9280787511,-168.7068604
34966000,0.9279619383,-171.3198261
35188000,0.9279048971,-173.9246728
35410000,0.9274374844,-176.5270368
35632000,0.9269888337,-179.134944
35854000,0.9265343992,178.2722588
36076000,0.9257391534,175.6773955
36298000,0.9254184463,173.0760504
36520000,0.9247216171,170.5038926
36742000,0.9240808289,167.8815553
36964000,0.9235262749,165.2661462
37186000,0.923080252,162.6166599
37408000,0.922640357,159.8866912
37630000,0.921647796,157.3110834
37852000,0.9198354696,154.8888798
38074000,0.9182212226,152.4929736
38296000,0.9169848808,150.0007943
38518000,0.9155350486,147.4881227
38740000,0.9143818157,144.965842
38962000,0.9126122094,142.4348973
39184000,0.9110847973,139.9106487
39406000,0.9095530459,137.3733128
39628000,0.9074040634,134.8905891
39850000,0.9052887573,132.3877244
40072000,0.9027820114,129.9333549
40294000,0.9000615653,127.4341303
40516000,0.8972140093,124.8693408
40738000,0.8940635051,122.3828099
40960000,0.8901749043,120.1737937
41182000,0.8860372024,117.9316142
41404000,0.881283443,115.6507811
41626000,0.8766035654,113.402216
41848000,0.8714425599,111.176478
42070000,0.8654948353,108.9492564
42292000,0.858759461,106.9442322
42514000,0.8519235378,104.8418168
42736000,0.8445630033,102.7305198
42958000,0.8369593453,100.6425872
43180000,0.828936843,98.6030031
43402000,0.8209401366,96.68017117
43624000,0.812623501,95.13297443
43846000,0.8046130259,93.59918938
44068000,0.7968187121,92.23532386
44290000,0.7907225565,90.85308296
44512000,0.7855476285,89.50667705
44734000,0.7813784671,88.17101761
44956000,0.7784001126,86.90595449
45178000,0.7764861231,85.65871593
45400000,0.7754958726,84.36372151
45622000,0.7754983401,83.10354881
45844000,0.7765651512,81.88113955
46066000,0.7774811973,80.7293371
46288000,0.7792907015,79.41991462
46510000,0.7810650543,78.08657599
46732000,0.7834713786,76.60903115
46954000,0.7859838251,75.18627046
47176000,0.7879250493,73.86315526
47398000,0.7898099222,72.5092029
