Frequency,S11_Magnitude,S11_Phase
60052000,0.8911289917,-69.489101
60274000,0.8591150185,-81.45468026
60496000,0.8152072656,-95.17137208
60718000,0.7597792694,-110.7641349
60940000,0.6961277147,-128.255934
61162000,0.6320594859,-147.3849308
61384000,0.5763220136,-167.8465081
61606000,0.5359628771,171.1709847
61828000,0.5150236265,150.8562539
62050000,0.524999637,131.0568148
62272000,0.5208081242,115.7517723
62494000,0.5373048821,101.667764
62716000,0.556933424,89.7139554
62938000,0.5772647745,79.70888152
63160000,0.5972610607,71.0020477
63382000,0.6157142657,63.36463735
63604000,0.632645588,56.53186229
63826000,0.6479055965,50.53662064
64048000,0.6615315794,44.95829083
64270000,0.6734791776,39.80628619
64492000,0.6842874828,34.94399661
64714000,0.6937305542,30.44755183
64936000,0.7017030761,26.08432267
65158000,0.7086865965,21.80533139
65380000,0.7146354441,17.68246216
65602000,0.7196663521,13.54952463
65824000,0.7239056632,9.521708409
66046000,0.7272840179,5.4268606
66268000,0.7290675989,1.226308015
66490000,0.7315655822,-3.085722335
66712000,0.7332135602,-7.533915604
66934000,0.7332585119,-12.13853087
67156000,0.7326957193,-17.08495421
67378000,0.7316483673,-22.45429364
67600000,0.728562481,-28.25821131
67822000,0.7242747934,-34.76320706
68044000,0.7168115989,-41.96691333
68266000,0.7058102919,-49.89221673
68488000,0.6917873935,-58.6375759
68710000,0.6770228942,-68.34631834
68932000,0.6637841397,-79.41224364
69154000,0.6531004195,-92.10886781
69376000,0.6462984785,-106.7174672
69598000,0.6463090582,-123.2529561
69820000,0.6557201748,-141.5223405
70042000,0.6760612011,-160.9916966
70264000,0.7071275331,179.2500421
70486000,0.7450405836,160.0996451
70708000,0.7849416871,142.2632633
70930000,0.8224901759,126.1077407
71152000,0.8546270028,111.7409303
71374000,0.8805059526,99.13096392
71596000,0.9000730126,88.11860121
71818000,0.9155084672,78.41249727
72040000,0.9264746961,69.89000616
72262000,0.9348375714,62.26634365
72484000,0.9411122452,55.43279876
72706000,0.9453738471,49.20557589
72928000,0.9486453685,43.46336945
73150000,0.9508698197,38.04115927
73372000,0.9525848272,32.90505202
73594000,0.9533105501,27.84748927
73816000,0.9529437706,22.77041872
74038000,0.9507965351,17.4469413
74260000,0.9445371962,11.51285024
74482000,0.9285413217,4.331838774
74704000,0.8843670879,-5.555756632
74926000,0.7427991397,-21.05074846
75148000,0.3275545893,-32.55155848
75370000,0.4165638321,43.05975265
75592000,0.6893213075,33.71472655
75814000,0.7980838069,24.36668376
76036000,0.8479481521,17.69246868
76258000,0.874787233,12.46993663
76480000,0.8913759181,8.118530562
76702000,0.9021139158,4.285675437
76924000,0.9097293261,0.7854509506
77146000,0.915449472,-2.508937789
77368000,0.9197690477,-5.613496243
77590000,0.9232477599,-8.633838676
77812000,0.9258983343,-11.6086959
78034000,0.9281041425,-14.5416829
78256000,0.9297931202,-17.45664397
78478000,0.9311620979,-20.41221764
78700000,0.9322244353,-23.372809
78922000,0.9326549607,-26.36618404
79144000,0.9328779999,-29.37986128
79366000,0.9332101696,-32.41640833
79588000,0.9343174986,-35.5469466
79810000,0.9353386427,-38.81593153
80032000,0.9356711616,-42.23812309
80254000,0.9359195155,-45.78401537
80476000,0.9359181064,-49.49071695
80698000,0.9356446158,-53.37534587
80920000,0.9348754035,-57.52932636
81142000,0.9336998053,-61.98619623
81364000,0.932088229,-66.81830717
81586000,0.9294715169,-72.12753892
81808000,0.9245131346,-78.07577018
82030000,0.916411024,-84.92117989
82252000,0.9015351288,-93.13110912
82474000,0.8699566789,-103.5536836
82696000,0.7970193764,-117.7121842
82918000,0.6117991829,-138.0854395
83140000,0.2163514512,-151.4302813
83362000,0.3232863167,-59.01744255
83584000,0.5896860843,-75.35643699
83806000,0.7122518503,-92.06487955
84028000,0.771412157,-106.8324483
84250000,0.8021904447,-121.0359491
84472000,0.8195293598,-135.6660249
84694000,0.8294730568,-151.4171141
84916000,0.835536744,-168.9235989
85138000,0.8402499848,171.4041309
85360000,0.8455958206,149.3046444
85582000,0.8530449529,124.833458
85804000,0.8637735525,98.61867717
86026000,0.8773507796,71.75227081
86248000,0.8909253955,45.37870975
86470000,0.9023258767,20.40225043
86692000,0.909493234,-2.857958855
86914000,0.9120183092,-24.43492307
87136000,0.9100005147,-44.63592834
87358000,0.9031457648,-63.95688282
87580000,0.8915856514,-82.93234533
87802000,0.873951873,-102.0173796
88024000,0.8493661324,-121.909143
88246000,0.8152922351,-143.3441572
88468000,0.7694304617,-167.4452094
88690000,0.7081085491,164.0515965
88912000,0.6325605493,128.4997196
89134000,0.560056211,82.56823353
89356000,0.5383817069,27.32423202
89578000,0.5910923545,-25.74403419
89800000,0.6690353136,-67.89218608
90022000,0.7296721824,-100.0461199
90244000,0.7667638973,-125.2635282
90466000,0.7871263265,-145.8356489
90688000,0.7969917111,-163.1357364
90910000,0.8008438308,-178.1310822
91132000,0.8007751963,168.6440353
91354000,0.7983436392,156.7838622
91576000,0.7941673777,145.9766488
91798000,0.7885644803,136.0763606
92020000,0.7812829025,126.8502991
92242000,0.7726592989,118.2134115
92464000,0.7616277637,109.9881818
92686000,0.7482339746,102.1166956
92908000,0.7313594232,94.44697893
93130000,0.7105259887,86.89302997
93352000,0.6838957024,79.24225737
93574000,0.6492773801,71.40484952
93796000,0.6031591429,63.09466855
94018000,0.5399583782,54.0102767
94240000,0.4515419606,43.8320825
94462000,0.3269628719,32.49930815
94684000,0.1563701728,22.57399995
94906000,0.06940198648,153.9626818
95128000,0.301589463,153.1554862
95350000,0.5093365504,138.0926302
95572000,0.6621401514,123.8512546
95794000,0.7618194744,111.7859649
96016000,0.8226509974,101.8158624
96238000,0.8588732324,93.58647708
96460000,0.8797880701,86.73607998
96682000,0.8914849696,80.86162729
96904000,0.8975228056,75.76626403
97126000,0.9005703319,71.31640125
97348000,0.9015738076,67.35645471
97570000,0.9016451311,63.77675405
97792000,0.9019070099,60.51485059
98014000,0.902219904,57.53821964
98236000,0.9033208632,54.7013726
98458000,0.9056577726,51.96628896
98680000,0.9084961242,49.26803222
98902000,0.9116715905,46.58434087
99124000,0.9153784498,43.8225161
99346000,0.9183662025,40.96136851
99568000,0.9207265113,37.96805972
99790000,0.9219986248,34.72869179
100012000,0.9205852137,31.20016578
100234000,0.9161110041,27.1711742
100456000,0.9045143479,22.4032578
100678000,0.8788084825,16.37277493
100900000,0.8199899128,8.146460359
101122000,0.6719564167,-2.571151387
101344000,0.3888129375,1.104543757
101566000,0.4458068451,35.47299422
101788000,0.5081460438,32.17364041
102010000,0.4889039629,43.01782686
102232000,0.6193705317,49.7894054
102454000,0.7299275805,46.46375003
102676000,0.7933068921,41.95390752
102898000,0.8306533886,37.95969166
103120000,0.8540320888,34.50416501
103342000,0.8692488872,31.54382111
103564000,0.8798819171,28.92450055
103786000,0.8871352959,26.54891343
104008000,0.8924080428,24.35347985
104230000,0.8960086041,22.33128627
104452000,0.8985427931,20.43401953
104674000,0.9002371837,18.64260283
104896000,0.9016680213,16.92401293
105118000,0.9022637422,15.26490447
105340000,0.9025562208,13.70561128
105562000,0.9023871931,12.1668875
105784000,0.9018332053,10.6286466
106006000,0.9010720948,9.133881955
106228000,0.9000903794,7.664197614
106450000,0.8987191667,6.206547864
106672000,0.8969755199,4.767773349
106894000,0.8945912696,3.293376146
107116000,0.8919904584,1.831742473
107338000,0.8886476709,0.3197783535
107560000,0.8842698402,-1.240946501
107782000,0.879068998,-2.813625624
108004000,0.8722247311,-4.482752035
108226000,0.8631034214,-6.254385701
108448000,0.8505089816,-8.174537322
108670000,0.8324731485,-10.28836582
